phase,K,a,y,x,c,x_phase_a,source_type,retarded_type,advanced_route,advanced_type_or_tail,target_count,retarded_visible_count,advanced_full_count,advanced_phase_a_count,advanced_visible_phase_a_count,advanced_tail_phase_a_count,atom_tail_count,phase_loss_tail_count,visible_total,q_total,capture_fraction,tail_fraction,partition_pass,disjoint_pass,phase_subset_pass,route_pass,denominator_pass,all_hooks_pass
calibration,5,74,9,37888,49,25088,d5:r74:peven:b1,d5:r53:peven:b2,Q_K:T0,Q_K:T0,3773,718,3053,1935,0,1935,2,1118,718,3055,0.190299496422,0.809700503578,yes,yes,yes,yes,yes,yes
calibration,5,74,10,75776,49,50176,d5:r74:peven:b1,d5:r53:peven:b2,Q_K:T0,Q_K:T0,7337,1374,5961,3896,0,3896,2,2065,1374,5963,0.187270001363,0.812729998637,yes,yes,yes,yes,yes,yes
calibration,5,77,8,19712,51,13056,d5:r77:podd:b0,d5:r65:peven:b2,Q_K:T0,Q_K:T0,583,572,9,9,0,9,2,0,572,11,0.981132075472,0.018867924528,yes,yes,yes,yes,yes,yes
calibration,5,77,9,39424,51,26112,d5:r77:podd:b0,d5:r65:peven:b2,Q_K:T0,Q_K:T0,1186,1174,10,10,0,10,2,0,1174,12,0.989881956155,0.010118043845,yes,yes,yes,yes,yes,yes
calibration,5,77,10,78848,51,52224,d5:r77:podd:b0,d5:r65:peven:b2,Q_K:T0,Q_K:T0,2090,2077,11,11,0,11,2,0,2077,13,0.993779904306,0.006220095694,yes,yes,yes,yes,yes,yes
calibration,5,80,8,20480,53,13568,d5:r80:peven:b2,d5:r77:peven:b2,visible,d4:r53:podd:b0,6041,81,5958,4050,4050,0,2,1908,4131,1910,0.683827180930,0.316172819070,yes,yes,yes,yes,yes,yes
calibration,5,80,9,40960,53,27136,d5:r80:peven:b2,d5:r77:peven:b2,visible,d4:r53:podd:b0,11829,166,11661,7953,7953,0,2,3708,8119,3710,0.686364020627,0.313635979373,yes,yes,yes,yes,yes,yes
calibration,5,80,10,81920,53,54272,d5:r80:peven:b2,d5:r77:peven:b2,visible,d4:r53:podd:b0,23331,293,23036,15374,15374,0,2,7662,15667,7664,0.671510008144,0.328489991856,yes,yes,yes,yes,yes,yes
calibration,5,83,8,21248,55,14080,d5:r83:podd:b0,d5:r89:peven:b2,Q_K:T0,Q_K:T0,802,209,591,386,0,386,2,205,209,593,0.260598503741,0.739401496259,yes,yes,yes,yes,yes,yes
calibration,5,83,9,42496,55,28160,d5:r83:podd:b0,d5:r89:peven:b2,Q_K:T0,Q_K:T0,1741,410,1329,915,0,915,2,414,410,1331,0.235496840896,0.764503159104,yes,yes,yes,yes,yes,yes
calibration,5,83,10,84992,55,56320,d5:r83:podd:b0,d5:r89:peven:b2,Q_K:T0,Q_K:T0,3239,780,2457,1706,0,1706,2,751,780,2459,0.240815066379,0.759184933621,yes,yes,yes,yes,yes,yes
calibration,5,86,8,22016,57,14592,d5:r86:peven:b1,d5:r101:peven:b2,Q_K:T0,Q_K:T0,813,802,9,9,0,9,2,0,802,11,0.986469864699,0.013530135301,yes,yes,yes,yes,yes,yes
