mode,value,lift_indices,lift_slacks
656,444842237/100000000,218;19901;39584,0;4374793/25000000;41582933/100000000
659,635794531/100000000,219;19902;39585,8090527/25000000;0;29609001/100000000
662,25995481/10000000,220;19903;39586,2082109/12500000;0;11338497/100000000
665,727469633/100000000,221;19904;39587,68865823/100000000;0;6458773/25000000
668,1680641739/50000000,222;19905;39588,0;27437537/20000000;148692521/20000000
671,117015573/100000000,223;19906;39589,11829517/100000000;0;4918377/50000000
674,1580725823/100000000,224;19907;39590,0;50464793/100000000;157837231/100000000
677,87023447/20000000,225;19908;39591,0;6423617/100000000;1059691/2500000
680,115110721/50000000,226;19909;39592,11675737/50000000;2374199/25000000;0
683,102835219/20000000,227;19910;39593,2206363/20000000;0;20903847/20000000
686,588787881/100000000,228;19911;39594,22602323/50000000;0;5713843/20000000
689,215758641/100000000,229;19912;39595,12683449/25000000;31247731/100000000;0
692,1570543481/100000000,230;19913;39596,65550393/50000000;0;1465317/4000000
695,220763401/20000000,231;19914;39597,14812273/50000000;0;133070161/100000000
698,92027051/50000000,232;19915;39598,6054817/50000000;8675803/50000000;0
701,564103991/100000000,233;19916;39599,15503797/50000000;0;4621271/12500000
704,761348291/100000000,234;19917;39600,50024351/100000000;0;40760449/100000000
707,138347601/50000000,235;19918;39601,1648639/20000000;0;5136297/50000000
710,15660921/5000000,236;19919;39602,4793379/50000000;1930031/10000000;0
713,133610141/25000000,237;19920;39603,784303/4000000;10863773/20000000;0
716,8267143/6250000,238;19921;39604,0;494181/10000000;2435289/50000000
719,272736621/12500000,239;19922;39605,427457867/100000000;96637133/100000000;0
722,1368217039/100000000,240;19923;39606,128392491/100000000;53853633/50000000;0
725,39426861/25000000,241;19924;39607,8767479/100000000;5731773/100000000;0
728,2076358459/100000000,242;19925;39608,93981883/50000000;645981157/100000000;0
731,399131129/50000000,243;19926;39609,27240893/100000000;13068737/25000000;0
734,483626819/100000000,244;19927;39610,4925369/50000000;0;95031087/100000000
737,477905609/100000000,245;19928;39611,8118081/25000000;170159/781250;0
740,84719197/20000000,246;19929;39612,0;17799421/50000000;926889/2000000
743,110435439/50000000,247;19930;39613,0;1226241/20000000;11294273/100000000
746,659819601/100000000,248;19931;39614,65123137/50000000;0;33714833/50000000
749,38359237/4000000,249;19932;39615,0;3313669/100000000;152202519/100000000
752,15581463/10000000,250;19933;39616,0;354759/2500000;5508831/50000000
755,48052043/5000000,251;19934;39617,0;4653571/20000000;70961/100000
758,810000437/100000000,252;19935;39618,105718591/100000000;0;29063253/100000000
761,19614609/10000000,253;19936;39619,6670327/25000000;0;9240963/100000000
764,257391497/100000000,254;19937;39620,53899/6250000;558283/4000000;0
767,343703411/50000000,255;19938;39621,22327419/50000000;0;29236431/50000000
770,39894557/20000000,256;19939;39622,0;17569001/100000000;2966329/20000000
773,363866799/50000000,257;19940;39623,39213107/50000000;0;24750823/20000000
776,1004661183/100000000,258;19941;39624,0;84772649/50000000;865237/20000000
779,130867043/100000000,259;19942;39625,0;6133309/50000000;1354779/25000000
782,358635877/100000000,260;19943;39626,950403/12500000;1929961/20000000;0
785,2457816/390625,261;19944;39627,2787919/100000000;0;15526503/50000000
788,195553793/50000000,262;19945;39628,7849107/100000000;0;45880729/100000000
791,475501683/100000000,263;19946;39629,5437557/50000000;0;212331/625000
794,510624003/100000000,264;19947;39630,0;29616091/100000000;4872907/20000000
797,142208517/100000000,265;19948;39631,444793/6250000;41497/100000000;0
800,1175433967/100000000,266;19949;39632,0;4425531/100000000;22341719/25000000
803,747679543/100000000,267;19950;39633,0;7546491/25000000;13179179/100000000
806,181208101/100000000,268;19951;39634,0;159317/1250000;5442803/50000000
809,78345173/10000000,269;19952;39635,291861/10000000;203997/2000000;0
812,63605429/12500000,270;19953;39636,1426199/100000000;15283329/50000000;0
815,178862111/50000000,271;19954;39637,15955979/100000000;4255799/20000000;0
818,208442151/25000000,272;19955;39638,212714941/100000000;0;50553631/100000000
821,517838891/100000000,273;19956;39639,0;4655903/25000000;2950093/50000000
824,297990291/100000000,274;19957;39640,52180831/100000000;2004529/4000000;0
827,21651757/3125000,275;19958;39641,27386579/100000000;0;68108123/100000000
830,1020773409/100000000,276;19959;39642,0;42568661/25000000;6719533/12500000
