mode,value,lift_indices,lift_slacks
25370,79078407/12500000,8456;28139;47822,0;7119951/25000000;68744777/100000000
25373,317640359/12500000,8457;28140;47823,0;457866999/50000000;19001891/10000000
25376,79989511/50000000,8458;28141;47824,94091/10000000;4559779/100000000;0
25379,1059904847/50000000,8459;28142;47825,7625983/10000000;15193043/12500000;0
25382,54862387/10000000,8460;28143;47826,47211809/100000000;51445079/100000000;0
25385,12364309/5000000,8461;28144;47827,0;29062971/100000000;895321/25000000
25388,131849847/50000000,8462;28145;47828,342941/25000000;0;18961687/100000000
25391,35065083/6250000,8463;28146;47829,808677/20000000;0;33952317/100000000
25394,56774299/25000000,8464;28147;47830,571211/25000000;449747/1562500;0
25397,123848221/12500000,8465;28148;47831,0;1874209/10000000;27638127/100000000
25400,160442617/25000000,8466;28149;47832,0;3250699/10000000;2225571/5000000
25403,49815297/25000000,8467;28150;47833,650809/100000000;0;2225397/25000000
25406,128856643/20000000,8468;28151;47834,0;67681371/100000000;29306879/50000000
25409,948384517/100000000,8469;28152;47835,0;28371361/50000000;8646891/50000000
25412,200264781/100000000,8470;28153;47836,4857857/50000000;0;7512111/100000000
25415,69378931/12500000,8471;28154;47837,89348863/100000000;5462841/50000000;0
25418,112467667/25000000,8472;28155;47838,0;54432773/100000000;19412307/100000000
25421,39632367/25000000,8473;28156;47839,628763/25000000;0;77823/6250000
25424,210166579/6250000,8474;28157;47840,56239559/50000000;137395131/20000000;0
25427,1024762193/100000000,8475;28158;47841,0;8610537/12500000;25652921/50000000
25430,128664441/100000000,8476;28159;47842,241411/3125000;0;99009/1000000
25433,2126803281/100000000,8477;28160;47843,30810203/25000000;109888039/100000000;0
25436,835675021/100000000,8478;28161;47844,0;5559657/10000000;8013237/6250000
25439,225010347/50000000,8479;28162;47845,1646809/5000000;0;13031617/100000000
25442,391329473/100000000,8480;28163;47846,71544959/100000000;0;6498927/20000000
25445,213395773/50000000,8481;28164;47847,0;3961619/10000000;10086933/25000000
25448,218276307/100000000,8482;28165;47848,0;619293/6250000;3342691/100000000
25451,131510147/20000000,8483;28166;47849,0;50461661/100000000;68111247/100000000
25454,678344423/50000000,8484;28167;47850,0;2970967/100000000;33456547/50000000
25457,56993861/50000000,8485;28168;47851,1848257/25000000;0;612167/10000000
25460,2060254857/100000000,8486;28169;47852,0;294103699/100000000;10774649/5000000
25463,56809593/10000000,8487;28170;47853,14971139/100000000;82260609/100000000;0
25466,16957299/6250000,8488;28171;47854,0;145633/2000000;10545053/25000000
25469,334502919/100000000,8489;28172;47855,11504439/100000000;28651931/100000000;0
25472,25634023/6250000,8490;28173;47856,352993/3125000;0;26422447/100000000
25475,115478501/50000000,8491;28174;47857,0;42745413/100000000;4702723/100000000
25478,238603857/20000000,8492;28175;47858,34890903/100000000;0;2841003/3125000
25481,830450631/100000000,8493;28176;47859,0;22554127/100000000;29854647/50000000
25484,16190221/10000000,8494;28177;47860,13167459/100000000;14781559/100000000;0
25487,170951077/25000000,8495;28178;47861,0;123031/160000;156971/625000
25490,769910307/100000000,8496;28179;47862,16991453/20000000;292603/20000000;0
25493,364519683/100000000,8497;28180;47863,2161487/100000000;0;16355699/50000000
25496,24967471/6250000,8498;28181;47864,34607193/50000000;0;2742067/25000000
25499,116396239/25000000,8499;28182;47865,0;6834431/20000000;34983293/50000000
25502,218113899/100000000,8500;28183;47866,1451189/25000000;4715271/12500000;0
25505,344471731/20000000,8501;28184;47867,0;101288499/25000000;231489033/100000000
25508,923903291/100000000,8502;28185;47868,33906763/50000000;0;726023/50000000
25511,61176727/50000000,8503;28186;47869,449/400000;0;1580417/20000000
25514,156275563/6250000,8504;28187;47870,20367383/6250000;22461231/10000000;0
25517,925763059/100000000,8505;28188;47871,236215053/100000000;0;15519939/20000000
25520,56980507/20000000,8506;28189;47872,7143739/20000000;0;10041099/100000000
25523,816823247/100000000,8507;28190;47873,0;43197687/100000000;99473943/100000000
25526,254158707/50000000,8508;28191;47874,20578399/50000000;0;19284643/100000000
25529,23873187/12500000,8509;28192;47875,0;25179149/100000000;649461/12500000
25532,339931891/50000000,8510;28193;47876,16885787/100000000;4589369/100000000;0
25535,131837343/12500000,8511;28194;47877,0;87678771/100000000;23903269/50000000
25538,2379577/1562500,8512;28195;47878,0;24849/400000;567141/10000000
25541,1591014787/100000000,8513;28196;47879,278674591/100000000;0;14266933/50000000
25544,69841499/10000000,8514;28197;47880,1841597/100000000;26050579/25000000;0
25547,171276307/100000000,8515;28198;47881,0;1880609/50000000;1662153/25000000
25550,256758591/100000000,8516;28199;47882,0;13981/12500000;4214503/100000000
25553,286866367/50000000,8517;28200;47883,0;34281787/100000000;43943311/50000000
25556,37001551/20000000,8518;28201;47884,534713/10000000;60243/781250;0
25559,83987399/12500000,8519;28202;47885,0;21048263/100000000;61475233/100000000
25562,140362747/20000000,8520;28203;47886,0;890299/100000000;7758689/100000000
25565,30118447/20000000,8521;28204;47887,556119/10000000;5789357/50000000;0
25568,417810741/100000000,8522;28205;47888,17630209/100000000;0;15637369/25000000
25571,84793093/12500000,8523;28206;47889,1990517/6250000;0;45601969/50000000
25574,95215871/25000000,8524;28207;47890,74597213/100000000;0;13678791/100000000
25577,290780191/50000000,8525;28208;47891,18779987/100000000;43684261/100000000;0
25580,552224981/100000000,8526;28209;47892,15310299/20000000;0;2751323/5000000
25583,134443369/100000000,8527;28210;47893,2326701/100000000;8596129/50000000;0
25586,1137282087/100000000,8528;28211;47894,80107967/50000000;218969273/100000000;0
25589,658593641/100000000,8529;28212;47895,36397819/100000000;29974749/50000000;0
25592,175333761/100000000,8530;28213;47896,0;8153197/100000000;5124063/100000000
25595,905324351/100000000,8531;28214;47897,8593943/10000000;0;15029767/10000000
25598,592364289/100000000,8532;28215;47898,2455731/3125000;0;12304933/25000000
25601,64325807/20000000,8533;28216;47899,3731187/25000000;0;4246313/50000000
25604,8344763/625000,8534;28217;47900,429554447/100000000;0;85031477/100000000
25607,140945429/25000000,8535;28218;47901,0;53194921/100000000;16534121/50000000
25610,496692327/100000000,8536;28219;47902,0;17457781/100000000;9795243/50000000
25613,188458011/25000000,8537;28220;47903,0;10256839/25000000;12699659/100000000
25616,213824899/25000000,8538;28221;47904,890247/3125000;0;15969957/50000000
25619,2516941/1250000,8539;28222;47905,971431/2000000;1873331/10000000;0
25622,1407369701/100000000,8540;28223;47906,0;5749047/50000000;70551397/100000000
25625,49609353/10000000,8541;28224;47907,2244419/12500000;2088903/2500000;0
25628,155972931/50000000,8542;28225;47908,604201/1250000;9839179/100000000;0
25631,144240347/50000000,8543;28226;47909,7705579/100000000;0;1699889/10000000
25634,7697291/2000000,8544;28227;47910,4433451/50000000;0;11215407/50000000
25637,5552099/2500000,8545;28228;47911,0;432261/5000000;8728763/25000000
25640,696159379/100000000,8546;28229;47912,24712141/100000000;6085719/100000000;0
25643,117362031/20000000,8547;28230;47913,44405793/100000000;0;5330337/20000000
25646,309852911/100000000,8548;28231;47914,5692317/100000000;4977221/10000000;0
25649,520585099/100000000,8549;28232;47915,6707317/25000000;4724593/50000000;0
25652,545850803/50000000,8550;28233;47916,0;4644491/25000000;548017/3125000
25655,58094497/25000000,8551;28234;47917,35580309/100000000;17076673/100000000;0
25658,222477817/50000000,8552;28235;47918,749181/25000000;0;6757343/10000000
25661,430158481/100000000,8553;28236;47919,35014949/100000000;0;71795199/100000000
25664,87140243/50000000,8554;28237;47920,0;1479939/25000000;738181/100000000
25667,11315971/800000,8555;28238;47921,0;21435361/20000000;21868981/50000000
25670,1161856507/100000000,8556;28239;47922,219870381/100000000;0;52786537/50000000
25673,135095069/100000000,8557;28240;47923,9746621/100000000;0;2400693/20000000
25676,1839769939/100000000,8558;28241;47924,6488423/20000000;29075857/20000000;0
25679,717344833/100000000,8559;28242;47925,67801243/100000000;0;71382251/100000000
25682,65746949/10000000,8560;28243;47926,8186577/20000000;92022813/100000000;0
25685,104326423/20000000,8561;28244;47927,0;30789553/100000000;1194781/3125000
25688,551889859/100000000,8562;28245;47928,0;6172443/100000000;40103831/100000000
25691,30889969/12500000,8563;28246;47929,8055809/100000000;0;34997217/100000000
25694,266443391/25000000,8564;28247;47930,29143449/25000000;219312977/100000000;0
25697,474229761/12500000,8565;28248;47931,326660751/50000000;0;9287509/12500000
25700,123073257/100000000,8566;28249;47932,0;6317189/100000000;7986473/100000000
25703,200141701/12500000,8567;28250;47933,48298879/100000000;4229811/3125000;0
25706,416477799/100000000,8568;28251;47934,0;3779071/50000000;52473/50000000
25709,28397173/10000000,8569;28252;47935,1443921/10000000;0;2012213/100000000
25712,450238113/100000000,8570;28253;47936,103446119/100000000;310033/1250000;0
25715,111664591/25000000,8571;28254;47937,8049303/100000000;44796563/100000000;0
25718,834159/500000,8572;28255;47938,0;9019481/50000000;969413/3125000
25721,1373313373/50000000,8573;28256;47939,0;391758791/50000000;132856997/100000000
25724,841776757/100000000,8574;28257;47940,10517421/20000000;0;7977973/5000000
25727,127513521/100000000,8575;28258;47941,1896513/50000000;0;3283807/100000000
25730,1003330743/100000000,8576;28259;47942,194934031/100000000;16801989/50000000;0
25733,739915687/100000000,8577;28260;47943,16038953/20000000;0;8987693/50000000
25736,490233151/100000000,8578;28261;47944,0;41689673/100000000;29215827/100000000
25739,90671309/25000000,8579;28262;47945,0;21195231/100000000;6581793/100000000
25742,218104993/50000000,8580;28263;47946,26353713/100000000;3035223/20000000;0
25745,83141713/50000000,8581;28264;47947,920813/25000000;0;2483963/12500000
25748,957300063/100000000,8582;28265;47948,16844801/12500000;0;7353027/4000000
25751,1034412201/100000000,8583;28266;47949,65298789/100000000;13289/156250;0
25754,250494257/100000000,8584;28267;47950,0;41791969/100000000;1455423/12500000
25757,922216071/50000000,8585;28268;47951,137402283/50000000;0;7486819/50000000
25760,12531481/2000000,8586;28269;47952,0;5752007/50000000;32238457/100000000
25763,409951793/100000000,8587;28270;47953,0;23695749/100000000;4366931/100000000
25766,400475379/50000000,8588;28271;47954,60389411/100000000;3092659/6250000;0
25769,129206831/25000000,8589;28272;47955,25028663/50000000;3326163/100000000;0
25772,21173513/10000000,8590;28273;47956,4131253/25000000;0;975659/25000000
25775,815255913/100000000,8591;28274;47957,18803209/12500000;10082431/20000000;0
25778,496695129/25000000,8592;28275;47958,634346801/100000000;0;34161437/20000000
25781,62193579/50000000,8593;28276;47959,6074159/25000000;15617023/100000000;0
25784,1549407013/100000000,8594;28277;47960,305227813/100000000;0;435806613/100000000
25787,78684377/20000000,8595;28278;47961,3977949/25000000;0;4284963/20000000
25790,113796121/50000000,8596;28279;47962,4569643/100000000;0;21716711/100000000
25793,268706211/100000000,8597;28280;47963,3833633/25000000;3980039/20000000;0
25796,1400245047/100000000,8598;28281;47964,12883/31250;70102151/20000000;0
25799,353535847/100000000,8599;28282;47965,4841813/10000000;77164621/100000000;0
25802,715252191/100000000,8600;28283;47966,0;50657937/100000000;15526109/50000000
25805,358035763/50000000,8601;28284;47967,0;8546767/12500000;18829587/50000000
25808,42286599/25000000,8602;28285;47968,7792109/100000000;0;566263/10000000
25811,51396681/10000000,8603;28286;47969,0;8445313/25000000;2451327/3125000
25814,8235667/781250,8604;28287;47970,0;80976767/100000000;64390283/50000000
25817,716089569/100000000,8605;28288;47971,0;118718409/100000000;121957/781250
25820,165009493/50000000,8606;28289;47972,0;11307517/100000000;13554283/25000000
25823,709883441/100000000,8607;28290;47973,0;7516149/12500000;6048181/25000000
25826,142017427/100000000,8608;28291;47974,133873/6250000;0;7909121/50000000
25829,1503323733/100000000,8609;28292;47975,36060703/100000000;17775769/6250000;0
25832,22458517/2500000,8610;28293;47976,9589449/6250000;0;17110533/100000000
25835,26182081/20000000,8611;28294;47977,0;4678787/100000000;2530333/100000000
25838,166411089/20000000,8612;28295;47978,21129739/20000000;0;8974773/50000000
25841,434678941/100000000,8613;28296;47979,0;1535831/25000000;18649611/100000000
25844,60519069/20000000,8614;28297;47980,0;1597981/25000000;10719099/100000000
25847,442011881/100000000,8615;28298;47981,3528437/25000000;16334763/100000000;0
25850,81726249/20000000,8616;28299;47982,40948973/100000000;0;20224669/100000000
25853,263052299/100000000,8617;28300;47983,0;216667/1000000;3613637/20000000
25856,634149723/100000000,8618;28301;47984,0;30150779/100000000;1928473/5000000
25859,490410143/50000000,8619;28302;47985,8413579/100000000;22185993/100000000;0
25862,149919501/100000000,8620;28303;47986,25361/625000;6547713/50000000;0
25865,1282032777/100000000,8621;28304;47987,108865389/100000000;0;2054673/10000000
25868,501226991/100000000,8622;28305;47988,0;511091/800000;3675549/25000000
25871,387918719/100000000,8623;28306;47989,0;14607341/25000000;73033007/100000000
25874,281793443/100000000,8624;28307;47990,0;18722147/50000000;10377231/100000000
25877,165699227/25000000,8625;28308;47991,49746813/100000000;0;7445361/12500000
25880,178497023/100000000,8626;28309;47992,1411399/12500000;0;2777757/100000000
25883,913070529/100000000,8627;28310;47993,0;42388099/100000000;46666323/100000000
25886,249908063/20000000,8628;28311;47994,47996009/20000000;0;22627663/50000000
25889,196474367/100000000,8629;28312;47995,0;323691/1000000;118021/20000000
25892,759780397/100000000,8630;28313;47996,90592869/50000000;83051019/50000000;0
25895,1373972607/100000000,8631;28314;47997,18220389/25000000;0;180177/625000
25898,71116047/25000000,8632;28315;47998,7701607/100000000;0;146603/4000000
25901,504625631/100000000,8633;28316;47999,17982113/100000000;0;90737/3125000
25904,242690241/50000000,8634;28317;48000,37286369/100000000;0;30258887/100000000
25907,130864993/100000000,8635;28318;48001,1186291/25000000;14228067/100000000;0
25910,227965481/12500000,8636;28319;48002,98435359/50000000;5586499/10000000;0
25913,344698801/50000000,8637;28320;48003,50006633/100000000;0;13150137/100000000
25916,113919099/100000000,8638;28321;48004,6467807/50000000;2304787/100000000;0
25919,14118951/1250000,8639;28322;48005,0;50726489/50000000;32483483/50000000
25922,131823177/12500000,8640;28323;48006,97539237/100000000;0;285068221/100000000
25925,306174659/50000000,8641;28324;48007,0;1750969/1562500;659231/3125000
25928,388310537/100000000,8642;28325;48008,82674729/100000000;17461223/100000000;0
25931,140426123/25000000,8643;28326;48009,34671819/50000000;0;21486417/100000000
25934,983197/390625,8644;28327;48010,11691657/100000000;0;13801803/100000000
25937,356581333/20000000,8645;28328;48011,0;45438137/10000000;67288121/100000000
25940,385176433/25000000,8646;28329;48012,4780899/12500000;136571/12500000;0
25943,43970681/25000000,8647;28330;48013,0;13210653/100000000;997247/5000000
25946,1135011591/100000000,8648;28331;48014,32815449/100000000;60963597/100000000;0
25949,250118739/50000000,8649;28332;48015,12929967/20000000;0;17403829/100000000
25952,53334359/25000000,8650;28333;48016,828953/20000000;0;3906371/50000000
25955,362245499/100000000,8651;28334;48017,6600053/100000000;4267599/100000000;0
25958,59117523/10000000,8652;28335;48018,3042697/25000000;0;5392371/25000000
25961,147365547/100000000,8653;28336;48019,2210829/50000000;492899/25000000;0
25964,45005007/3125000,8654;28337;48020,103065209/50000000;0;56560813/100000000
25967,880163437/100000000,8655;28338;48021,0;54132021/100000000;6026551/100000000
25970,32546919/20000000,8656;28339;48022,0;7786413/100000000;241917/1250000
25973,247701649/50000000,8657;28340;48023,39180917/100000000;0;4886433/25000000
25976,182050867/20000000,8658;28341;48024,0;2965221/50000000;21156349/20000000
25979,2077187/781250,8659;28342;48025,0;10471511/100000000;911421/10000000
25982,120185347/20000000,8660;28343;48026,37839663/50000000;49069337/100000000;0
25985,445189969/100000000,8661;28344;48027,0;5689189/100000000;16523603/50000000
25988,71969681/50000000,8662;28345;48028,2719593/20000000;0;3866421/50000000
25991,19246979/2000000,8663;28346;48029,0;12539469/12500000;40692421/100000000
25994,1563062847/100000000,8664;28347;48030,14458043/4000000;0;195577923/100000000
25997,3359623/2000000,8665;28348;48031,2336901/50000000;0;1688297/50000000
26000,545687679/50000000,8666;28349;48032,24750527/50000000;0;91112703/100000000
26003,673225103/100000000,8667;28350;48033,14132247/50000000;63928851/100000000;0
26006,528187997/100000000,8668;28351;48034,0;110375763/100000000;15030703/25000000
26009,94125361/20000000,8669;28352;48035,23135667/50000000;26976561/100000000;0
26012,90409223/25000000,8670;28353;48036,6398547/100000000;0;2447107/10000000
26015,245422149/100000000,8671;28354;48037,18058077/100000000;17678873/100000000;0
26018,172617493/25000000,8672;28355;48038,0;85147459/100000000;8596227/20000000
26021,42232183/4000000,8673;28356;48039,0;147749459/100000000;2389027/25000000
26024,75907007/50000000,8674;28357;48040,0;1326773/100000000;4446831/100000000
26027,114483911/12500000,8675;28358;48041,6418357/6250000;0;3661977/100000000
26030,21409977/4000000,8676;28359;48042,36861023/50000000;0;27182109/100000000
26033,187415507/100000000,8677;28360;48043,3576749/50000000;5980767/100000000;0
26036,57369457/20000000,8678;28361;48044,9306247/100000000;0;18534567/50000000
26039,1324359463/100000000,8679;28362;48045,63145643/100000000;33860437/25000000;0
26042,24411513/10000000,8680;28363;48046,472807/25000000;0;1642369/25000000
26045,454306913/50000000,8681;28364;48047,11983189/100000000;27860519/20000000;0
26048,584371197/50000000,8682;28365;48048,13743701/10000000;0;791509/3125000
26051,29701227/25000000,8683;28366;48049,0;1298587/20000000;1355237/12500000
26054,457723991/100000000,8684;28367;48050,13321977/25000000;86173/160000;0
26057,1461753781/100000000,8685;28368;48051,0;390625633/100000000;101877183/100000000
26060,138688857/50000000,8686;28369;48052,1903961/100000000;0;5041123/25000000
26063,395285551/100000000,8687;28370;48053,2528659/50000000;0;539387/50000000
26066,524792299/100000000,8688;28371;48054,3030707/6250000;42053/50000000;0
26069,201177493/100000000,8689;28372;48055,0;673613/3125000;24195123/100000000
26072,952541411/100000000,8690;28373;48056,39890609/100000000;12202359/100000000;0
26075,164233803/25000000,8691;28374;48057,8931783/25000000;0;3139941/25000000
26078,52208981/25000000,8692;28375;48058,259097/6250000;8386283/100000000;0
26081,792392131/100000000,8693;28376;48059,20351599/50000000;35800621/100000000;0
26084,10432933/1562500,8694;28377;48060,0;80363621/50000000;26238713/50000000
26087,265225661/100000000,8695;28378;48061,25804677/100000000;0;165593/25000000
26090,463900417/100000000,8696;28379;48062,0;53883307/100000000;5358327/50000000
26093,470190677/100000000,8697;28380;48063,0;24301569/100000000;74186743/100000000
26096,377014289/100000000,8698;28381;48064,8059571/12500000;23701207/100000000;0
26099,648358309/100000000,8699;28382;48065,30064397/100000000;0;1466601/12500000
26102,1058410781/100000000,8700;28383;48066,162770243/100000000;0;5746649/100000000
26105,153301467/100000000,8701;28384;48067,939197/100000000;946867/50000000;0
26108,3691138297/100000000,8702;28385;48068,213327189/50000000;0;698318351/100000000
26111,119707461/25000000,8703;28386;48069,18072839/100000000;4864059/100000000;0
26114,46799409/20000000,8704;28387;48070,2935603/20000000;0;3288091/20000000
26117,352102129/100000000,8705;28388;48071,63628489/100000000;0;904353/2000000
26120,214609853/50000000,8706;28389;48072,3621729/25000000;0;13712443/100000000
26123,185195351/100000000,8707;28390;48073,0;355097/12500000;1466921/50000000
26126,304828957/25000000,8708;28391;48074,0;34244989/100000000;10966987/50000000
26129,753642529/100000000,8709;28392;48075,35034329/100000000;15551583/50000000;0
26132,199449297/50000000,8710;28393;48076,4850247/12500000;0;1922489/4000000
26135,292264439/50000000,8711;28394;48077,40435039/100000000;0;5520389/20000000
26138,617921019/50000000,8712;28395;48078,12492209/25000000;0;64114373/25000000
26141,244893079/100000000,8713;28396;48079,6705599/20000000;37737463/100000000;0
26144,415045591/100000000,8714;28397;48080,0;7418647/12500000;19129/400000
26147,371792463/100000000,8715;28398;48081,954257/20000000;5804261/50000000;0
26150,159616499/100000000,8716;28399;48082,75501/4000000;146651/3125000;0
26153,2462725119/100000000,8717;28400;48083,0;116872819/20000000;1394521/400000
26156,243305741/20000000,8718;28401;48084,0;109898617/100000000;129174047/50000000
26159,138384139/100000000,8719;28402;48085,1941563/50000000;23762311/100000000;0
26162,1932312597/100000000,8720;28403;48086,29174211/25000000;0;140164589/100000000
26165,195274293/25000000,8721;28404;48087,0;61802633/100000000;106141491/100000000
26168,227556677/50000000,8722;28405;48088,7316459/50000000;38654219/100000000;0
26171,280438081/50000000,8723;28406;48089,15153067/100000000;29974203/25000000;0
26174,132514913/20000000,8724;28407;48090,0;848599/6250000;16278389/50000000
26177,137329389/50000000,8725;28408;48091,5502733/20000000;0;17214499/50000000
26180,190993077/25000000,8726;28409;48092,1734087/50000000;0;5376793/25000000
26183,698293717/25000000,8727;28410;48093,205800141/100000000;0;51846423/6250000
26186,122848579/100000000,8728;28411;48094,2576387/50000000;9956247/100000000;0
26189,1417427637/100000000,8729;28412;48095,0;6564771/12500000;9638929/5000000
26192,502620003/100000000,8730;28413;48096,33622031/100000000;13616207/50000000;0
26195,329851733/100000000,8731;28414;48097,4438383/20000000;0;472111/50000000
26198,60171677/20000000,8732;28415;48098,11408157/100000000;0;3234163/20000000
26201,242782771/50000000,8733;28416;48099,51355009/100000000;453823/20000000;0
26204,197803593/100000000,8734;28417;48100,0;13448687/100000000;3290263/50000000
26207,1286213041/100000000,8735;28418;48101,67170349/100000000;101055427/50000000;0
26210,848155951/50000000,8736;28419;48102,63391879/12500000;0;30196723/20000000
26213,148129811/100000000,8737;28420;48103,21318679/100000000;0;6182437/50000000
26216,334561183/50000000,8738;28421;48104,4476797/100000000;4403811/6250000;0
26219,306241159/25000000,8739;28422;48105,0;173410783/100000000;78351597/100000000
26222,435573667/100000000,8740;28423;48106,398971/1562500;65979317/100000000;0
26225,315342521/100000000,8741;28424;48107,20206543/100000000;36403/100000000;0
26228,99714211/20000000,8742;28425;48108,52919511/100000000;5892581/25000000;0
26231,18042233/12500000,8743;28426;48109,397197/3125000;2185079/50000000;0
26234,1852675543/100000000,8744;28427;48110,349059339/100000000;0;91129/200000
26237,120620231/10000000,8745;28428;48111,12379259/100000000;0;78368467/50000000
26240,66826621/50000000,8746;28429;48112,0;1499021/100000000;2029667/100000000
26243,632588111/25000000,8747;28430;48113,134337743/100000000;102583289/25000000;0
26246,773212729/100000000,8748;28431;48114,0;34721201/100000000;23869741/50000000
26249,315292493/100000000,8749;28432;48115,315511/50000000;30372053/50000000;0
26252,226416843/50000000,8750;28433;48116,87767401/100000000;0;8846051/20000000
26255,49715049/12500000,8751;28434;48117,1859249/100000000;0;6331849/100000000
26258,105829229/50000000,8752;28435;48118,7172911/50000000;3448787/25000000;0
26261,82950273/12500000,8753;28436;48119,0;32855819/100000000;79439663/100000000
26264,429171217/50000000,8754;28437;48120,0;94258523/100000000;96837097/100000000
26267,6987069/5000000,8755;28438;48121,5327823/100000000;2680487/50000000;0
26270,465452349/50000000,8756;28439;48122,24962659/50000000;0;7083139/20000000
26273,244524021/50000000,8757;28440;48123,13827367/100000000;0;1474877/12500000
26276,54605077/25000000,8758;28441;48124,13910841/100000000;0;1441323/5000000
26279,275567411/100000000,8759;28442;48125,28687569/100000000;1775091/12500000;0
26282,550258179/100000000,8760;28443;48126,1963881/4000000;307273/2000000;0
26285,25383859/12500000,8761;28444;48127,0;1057439/50000000;581269/10000000
26288,850688717/100000000,8762;28445;48128,0;127775791/100000000;25764403/100000000
26291,834679301/100000000,8763;28446;48129,28726611/100000000;2863751/5000000;0
26294,6164509/4000000,8764;28447;48130,4082997/25000000;1914383/25000000;0
26297,1031947/250000,8765;28448;48131,0;3810327/12500000;2606021/12500000
26300,620871373/100000000,8766;28449;48132,0;1097239/100000000;36504123/100000000
26303,164550557/50000000,8767;28450;48133,0;6841173/100000000;10760163/100000000
26306,454249139/100000000,8768;28451;48134,42369271/100000000;4591673/25000000;0
26309,456121959/100000000,8769;28452;48135,2787011/25000000;0;17821913/100000000
26312,35190799/20000000,8770;28453;48136,0;7020379/100000000;204207/20000000
26315,1130788107/100000000,8771;28454;48137,0;19565321/20000000;21517859/100000000
26318,759182223/100000000,8772;28455;48138,171747333/100000000;0;4079727/20000000
26321,28735647/10000000,8773;28456;48139,0;3175043/20000000;788241/100000000
26324,2352143/400000,8774;28457;48140,3527/78125;10060493/100000000;0
26327,482959037/100000000,8775;28458;48141,9864303/100000000;5181333/10000000;0
26330,320995679/100000000,8776;28459;48142,0;725767/50000000;1791193/100000000
26333,105834627/20000000,8777;28460;48143,24201593/20000000;0;62280099/100000000
26336,494279093/100000000,8778;28461;48144,50703467/100000000;0;6045183/100000000
26339,527097261/100000000,8779;28462;48145,18175219/12500000;0;38420577/100000000
26342,327411309/50000000,8780;28463;48146,574373/1250000;80946561/100000000;0
26345,1298656337/100000000,8781;28464;48147,14820407/25000000;0;9621737/25000000
26348,8657487/5000000,8782;28465;48148,16531151/100000000;688479/25000000;0
26351,1512096111/100000000,8783;28466;48149,0;10738719/6250000;109419667/50000000
26354,4986291/1250000,8784;28467;48150,42611453/100000000;30574987/100000000;0
26357,189856119/100000000,8785;28468;48151,1542449/20000000;0;832979/100000000
26360,88501901/25000000,8786;28469;48152,3218677/100000000;4977491/10000000;0
26363,532551013/100000000,8787;28470;48153,0;47006347/100000000;1951269/4000000
26366,76402601/20000000,8788;28471;48154,16802709/25000000;0;173227/1562500
26369,47799921/6250000,8789;28472;48155,47304621/50000000;126192801/100000000;0
26372,784617029/100000000,8790;28473;48156,8009351/12500000;0;305777/20000000
26375,251948103/100000000,8791;28474;48157,12395651/100000000;0;1477287/12500000
26378,6885851/1000000,8792;28475;48158,855531/3125000;18651087/100000000;0
26381,826404987/50000000,8793;28476;48159,318787691/100000000;4033411/2000000;0
26384,17652747/10000000,8794;28477;48160,637241/20000000;0;6576467/50000000
26387,524928603/100000000,8795;28478;48161,1012139/12500000;165307/1562500;0
26390,176678447/50000000,8796;28479;48162,4457961/100000000;1374367/50000000;0
26393,145834397/100000000,8797;28480;48163,5946979/100000000;2705617/100000000;0
26396,728040311/50000000,8798;28481;48164,168613153/100000000;76214311/100000000;0
26399,1007045357/50000000,8799;28482;48165,355499/25000000;0;396495311/100000000
26402,5545283/5000000,8800;28483;48166,0;5499797/100000000;5542373/100000000
26405,2227681091/100000000,8801;28484;48167,0;378680711/100000000;184743159/100000000
26408,639622243/100000000,8802;28485;48168,0;44840479/50000000;4651903/6250000
26411,12810017/1000000,8803;28486;48169,14743547/12500000;487134531/100000000;0
26414,348645679/100000000,8804;28487;48170,1238623/25000000;21207419/100000000;0
26417,17550157/4000000,8805;28488;48171,0;10612727/100000000;1810677/6250000
26420,210869111/100000000,8806;28489;48172,20032167/100000000;36644393/100000000;0
26423,143967183/25000000,8807;28490;48173,20679873/50000000;411219/25000000;0
26426,2813798367/100000000,8808;28491;48174,0;274841803/50000000;29109863/4000000
26429,142724527/100000000,8809;28492;48175,1332893/10000000;11387731/100000000;0
26432,1172733237/100000000,8810;28493;48176,85450369/100000000;0;148227203/100000000
26435,47213009/10000000,8811;28494;48177,7884931/25000000;0;18592507/50000000
26438,270097261/100000000,8812;28495;48178,2346819/50000000;0;5660113/100000000
26441,480385083/100000000,8813;28496;48179,11346573/20000000;0;25239859/100000000
26444,7590727/1562500,8814;28497;48180,0;296069/50000000;3890601/20000000
26447,6424593/4000000,8815;28498;48181,0;1210901/4000000;922817/50000000
26450,2878423169/100000000,8816;28499;48182,36915719/20000000;0;307644267/100000000
26453,73915713/10000000,8817;28500;48183,119615783/100000000;0;8317557/100000000
26456,136284293/100000000,8818;28501;48184,0;7108559/100000000;838339/50000000
26459,780948787/100000000,8819;28502;48185,5734223/100000000;13235349/25000000;0
26462,42000801/5000000,8820;28503;48186,2363249/2500000;0;78845859/50000000
26465,140291813/50000000,8821;28504;48187,0;15015319/100000000;2473011/50000000
26468,189282641/50000000,8822;28505;48188,25291261/100000000;0;22279783/50000000
26471,659981851/100000000,8823;28506;48189,0;34222839/100000000;24611261/50000000
26474,122603571/100000000,8824;28507;48190,0;86983/20000000;5705157/100000000
26477,1881395533/100000000,8825;28508;48191,26818919/12500000;0;17286577/4000000
