a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
710,473,363520,256,363264,1090,575,513,513,1089,1,1,0,99.908256881,yes,yes,yes,yes,yes,yes,yes,844a7c5798b832f6a0bda31cf6fe28ac9da4ac670447aee9d1519f12bae4c926,ad06222856b2c3d545a8f152f89bf3e91c7d3a960db8215348f8cf06169914b2,731844f25015ae434aeb8e22e1c685a36755ce616900a01deab0f149aadade2b,731844f25015ae434aeb8e22e1c685a36755ce616900a01deab0f149aadade2b,
719,479,368128,256,367872,79556,188,79366,79366,79555,1,1,0,99.998743024,yes,yes,yes,yes,yes,yes,yes,bfc0cc20a7327b433ada30021a10e89c3ab02622a0e5861767424e62e2b2b539,5e375de90158802670555ceea7fd19b1e295e9f833606c6aa269d2e9a8da5a59,c1b8e21e1e991d45c6649a47ff71cd96ad548a32fafd1a28207da363f91a912c,c1b8e21e1e991d45c6649a47ff71cd96ad548a32fafd1a28207da363f91a912c,
728,485,372736,256,372480,17205,146,17057,17052,17199,6,1,5,99.965126417,yes,yes,yes,yes,yes,yes,yes,4948a86f3ebc227eb1db34ce8999abdce4243a2076aae4bae0308cc5c1e9e30e,6546d55ddf6aa76bec7c07bb0ee9b387dec9e1deae7bc736e52eba86b5931138,2299d4e499389ee145f87d68e37be879c5ca572eacebf5be3ac070817c53974d,c4798ef068d05d33263269717b60859f91c3e482b600e73767360abbb4a6fb2f,165547 220729 248321 331094 372482
737,491,377344,256,377088,1433,174,1257,1257,1432,1,1,0,99.930216329,yes,yes,yes,yes,yes,yes,yes,9d90328603c88666d51aee24bc8a90de93cd9cd00916e4b320ed0da5e67a6451,f3b1f293c14faeb36f15265d607127c80c67c192dc6c4218683675705f0cffd6,6093d6d39dbf8ed6214fb4ec522a5e09c2bbdc482ff9460690acb274c5975cf0,6093d6d39dbf8ed6214fb4ec522a5e09c2bbdc482ff9460690acb274c5975cf0,
746,497,381952,256,381696,2856,181,2673,2673,2855,1,1,0,99.964985994,yes,yes,yes,yes,yes,yes,yes,97e47c7e8c52082c44a60b059eed9534a0427d9fc58549174af5993c6cb87c25,fe1139661bfe6d47fa23ef1c5213324b8f625eed0da8604ec02618173827d4b7,8c90b82d7ec2a43215f22ba2b82d30cb9c85cd4ca98461b9c0c454a219e3e05b,8c90b82d7ec2a43215f22ba2b82d30cb9c85cd4ca98461b9c0c454a219e3e05b,
755,503,386560,256,386304,3846,189,3655,3655,3845,1,1,0,99.973998960,yes,yes,yes,yes,yes,yes,yes,0000f2b1334654f200d43c4306786c33272b08b0675a8518861cfbfec57a79e8,7877d7cbd9b7fa60e61209ea5597141234bb31ed14b5b0944f953ca497a11bfb,2853fd183793bf4b855949fb71904ba16df64b9c4d50637bd80b923a3a4825e3,2853fd183793bf4b855949fb71904ba16df64b9c4d50637bd80b923a3a4825e3,
764,509,391168,256,390912,753,190,561,561,752,1,1,0,99.867197875,yes,yes,yes,yes,yes,yes,yes,1d667f85df4cb07320e60bd2da6d90e371284854cfe1cbe8b7a83e7d88013f7c,5e3d448ff4793d64a57f390e2843f2f053538c2c538758161993cebb5571b618,f60bd906d7e672d0441c4eb8a712a12774ddadb242cc8d91401f0e9d21a0d33f,f60bd906d7e672d0441c4eb8a712a12774ddadb242cc8d91401f0e9d21a0d33f,
773,515,395776,256,395520,4029,342,3685,3685,4028,1,1,0,99.975179945,yes,yes,yes,yes,yes,yes,yes,fac5ef79702fad3196a16761cde3c60ab8b2659d03113350282986528ea7fd77,dd2a6f4c8ca710f7783917d8fc9bf6e641359d31da4a6da401126b22ca9b6b45,5502fb632336e43fc64f8c7e1c9fa9bd6ecf01a438b1a3b9dd6a23504112b02d,5502fb632336e43fc64f8c7e1c9fa9bd6ecf01a438b1a3b9dd6a23504112b02d,
782,521,400384,256,400128,1003,105,896,896,1002,1,1,0,99.900299103,yes,yes,yes,yes,yes,yes,yes,5c4cf611d99d45887cc65265166099618a18c31b8add6bfaadd38ff34ad83bb0,db7b775b70ec522fac089794ac741c03e664d98127a78b6c68af19b5a111121f,899af154c8c610d047ebdb9643b9f997decea6d0ccaddfd3b6ea51d4794ee83a,899af154c8c610d047ebdb9643b9f997decea6d0ccaddfd3b6ea51d4794ee83a,
791,527,404992,256,404736,1620,431,1187,1187,1619,1,1,0,99.938271605,yes,yes,yes,yes,yes,yes,yes,61289474d6a744bbcc81012a39497a7ef708fa1fb409227ccce7e9798c399144,23c592c7431aded47b2bc722dd34fb86c276fc2adb0e3622b810220fcd6316ae,d821d868c0f429afce9ed71ec13078137fc222756a7bc26c14d9a5682d5dc696,d821d868c0f429afce9ed71ec13078137fc222756a7bc26c14d9a5682d5dc696,
800,533,409600,256,409344,5458,326,5130,5130,5457,1,1,0,99.981678270,yes,yes,yes,yes,yes,yes,yes,238405ff80e5b2bd1b33a83d84850640063242ab04179c8af3440cc4c9c30cbe,822f798b9626d5021c098157b0d66888911a93f9880a0cd8da62a5f5ea85f8e5,403eed02a4f85e64a816e367f7735ab10c3b7cd4698fc1f46e8657b4930bbb14,403eed02a4f85e64a816e367f7735ab10c3b7cd4698fc1f46e8657b4930bbb14,
809,539,414208,256,413952,6631,136,6493,6493,6630,1,1,0,99.984919318,yes,yes,yes,yes,yes,yes,yes,178ab0f3283bc18daba1a84b322b3b8c85fb8ef6a1e21a74abe5177daa60b765,522215ed6d3c4aecbd414104e6528337b2e4e67d437fa92fcf209b60552ea2e6,0545def696ea1f58817b7e2a55ae4ed3ab7161fe01ae08766f6613ee76ee9964,0545def696ea1f58817b7e2a55ae4ed3ab7161fe01ae08766f6613ee76ee9964,
818,545,418816,256,418560,4563,313,4248,4248,4562,1,1,0,99.978084593,yes,yes,yes,yes,yes,yes,yes,ca00b1cae263cc705b2d00fdf0812e11624944e729dca7e4f51a11f037e33d26,4273ca98c6c20197b770db5d9a1a63d2d9ff234c8a4b65419ea932d78634f9c0,68c164e0a20157d94070d80b44d03fd5af1b5bb4a943d61e2b7e6c30bc4b3e4a,68c164e0a20157d94070d80b44d03fd5af1b5bb4a943d61e2b7e6c30bc4b3e4a,
827,551,423424,256,423168,2997,95,2900,2900,2996,1,1,0,99.966633300,yes,yes,yes,yes,yes,yes,yes,c247e75fc473a6d0e49dc7d06b4eaeb86dbe0dc6195696fcdddeadaad121bda7,7617b1e4feb5c0e08fc9033df961664e5259aa937390926b7144818036de2f97,413a85dc93c2d2c1c3204eb4a3e712c219d9cb9abe7d738195e7d8d558008734,413a85dc93c2d2c1c3204eb4a3e712c219d9cb9abe7d738195e7d8d558008734,
836,557,428032,256,427776,6574,112,6460,6460,6573,1,1,0,99.984788561,yes,yes,yes,yes,yes,yes,yes,4dbd724f5ba6b8ab321e20fabbb02bc19146f886608b47864e11df0a6318e105,9f358415620699a4408e7d60d24a72d65073bc745b7f6452a082b55a83d0cc05,959578f6b67a04c1874bc91e903da558dea0ff25299f49a6c786edc593ada231,959578f6b67a04c1874bc91e903da558dea0ff25299f49a6c786edc593ada231,
845,563,432640,256,432384,1262,325,935,935,1261,1,1,0,99.920760697,yes,yes,yes,yes,yes,yes,yes,824350830e39356ca349aaed01df36a12866e303d34651b32c5a91104f69420b,797966e4fbb8ffb6be871518ff4ed6129e453e07912c428eb6aaddcb5ebeb343,5e5f5144d09a4a337534e54c8efc45b039473b75c51a48faf3ae0f15d685bb08,5e5f5144d09a4a337534e54c8efc45b039473b75c51a48faf3ae0f15d685bb08,
854,569,437248,256,436992,7006,390,6614,6614,7005,1,1,0,99.985726520,yes,yes,yes,yes,yes,yes,yes,3b2791b6d8c04134d8003bd973c4663dbdfe42a4a33cba74d4d20b43c426a4b7,4a5dc53c4aeab0d637caf79132912c27a7f2c699fdf66f06df13db113f6203fe,1749ca8280e316058b6cd45b371c413a69d28ec4cb0142dec14f732bd96dfbf8,1749ca8280e316058b6cd45b371c413a69d28ec4cb0142dec14f732bd96dfbf8,
863,575,441856,256,441600,1869,112,1755,1755,1868,1,1,0,99.946495452,yes,yes,yes,yes,yes,yes,yes,51f9c4a539909c8427e4c454e8dbf9d843a1a323466c53a6e0b73849d0c99ee0,7e46b43c1c9a33cfad08d41a9c9cc766d172789f36d08714e2725423a05683d1,8561f69a99c7fbeceb52646452796d4b59a79620a34507337c2e48bd19129a39,8561f69a99c7fbeceb52646452796d4b59a79620a34507337c2e48bd19129a39,
872,581,446464,256,446208,3658,385,3271,3271,3657,1,1,0,99.972662657,yes,yes,yes,yes,yes,yes,yes,b8e8ae0569d0a0827dcf3e524447969130469de5474301210a68d7df531c9288,02b4c485fc75967d8e66c5cff7d08518eebf899be9415bc969ca48b86cc3aa89,71bf9b60fef01eb5778d247aa6bd8468b08867082a9a6ecb42b5653061624f16,71bf9b60fef01eb5778d247aa6bd8468b08867082a9a6ecb42b5653061624f16,
881,587,451072,256,450816,8849,726,8121,8121,8848,1,1,0,99.988699288,yes,yes,yes,yes,yes,yes,yes,89f3f48b020074e5221e8cc1b30a3ad4d7892832a902c028da46e4c283fe0b1a,c3ab3f429d4e8d9f85f9de9788dd8c7dc59a90c87fea5e887fe1628634d32e73,a582dd6290cbf1fefb2a03b9c1dbc04e972039d9b33dca97b4e53cb960ee723a,a582dd6290cbf1fefb2a03b9c1dbc04e972039d9b33dca97b4e53cb960ee723a,
890,593,455680,256,455424,87707,91,87614,87606,87698,9,1,8,99.989738561,yes,yes,yes,yes,yes,yes,yes,82ff8f4eb4c50b22616fbae8b3812da4eb3830a912f4c414c24c3dbd9d74f77b,e05032b4e2aa243bc5224170d22c6e118b1093f9b34d0cfd5e10e40452e9130a,7f45eb0d62bdcdb433ef74c3fcc8d26b1f39ca8a83cbe2f6a680f3d49e34142e,6e7c277b6af008dc69f37fb0e38e210c6fa3c736c611d02f5faf65741f4d6068,303669 303709 455488 455504 455508 455560 455562 455564
