source_id,source,branch,target_id,target,weight_decimal,weight_formula,multiplicity,rule_derived
233,d5:r77:peven:b2,advanced_rebased_return,153,d5:r51:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
233,d5:r77:peven:b2,advanced_rebased_return,396,d5:r132:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
233,d5:r77:peven:b2,advanced_rebased_return,639,d5:r213:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
234,d5:r78:podd:b0,retarded_return,209,d5:r69:peven:b2,0.308641975308642,rho_star^(-2),1,yes
235,d5:r78:peven:b1,retarded_return,209,d5:r69:peven:b2,0.308641975308642,rho_star^(-2),1,yes
236,d5:r78:peven:b2,retarded_return,209,d5:r69:peven:b2,0.308641975308642,rho_star^(-2),1,yes
237,d5:r79:podd:b0,retarded_return,221,d5:r73:peven:b2,0.308641975308642,rho_star^(-2),1,yes
238,d5:r79:peven:b1,retarded_return,221,d5:r73:peven:b2,0.308641975308642,rho_star^(-2),1,yes
239,d5:r79:peven:b2,retarded_return,221,d5:r73:peven:b2,0.308641975308642,rho_star^(-2),1,yes
240,d5:r80:podd:b0,retarded_return,233,d5:r77:peven:b2,0.308641975308642,rho_star^(-2),1,yes
240,d5:r80:podd:b0,advanced_rebased_return,159,d5:r53:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
240,d5:r80:podd:b0,advanced_rebased_return,402,d5:r134:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
240,d5:r80:podd:b0,advanced_rebased_return,645,d5:r215:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
241,d5:r80:peven:b1,retarded_return,233,d5:r77:peven:b2,0.308641975308642,rho_star^(-2),1,yes
241,d5:r80:peven:b1,advanced_rebased_return,159,d5:r53:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
241,d5:r80:peven:b1,advanced_rebased_return,402,d5:r134:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
241,d5:r80:peven:b1,advanced_rebased_return,645,d5:r215:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
242,d5:r80:peven:b2,retarded_return,233,d5:r77:peven:b2,0.308641975308642,rho_star^(-2),1,yes
242,d5:r80:peven:b2,advanced_rebased_return,159,d5:r53:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
242,d5:r80:peven:b2,advanced_rebased_return,402,d5:r134:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
242,d5:r80:peven:b2,advanced_rebased_return,645,d5:r215:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
243,d5:r81:podd:b0,retarded_return,245,d5:r81:peven:b2,0.308641975308642,rho_star^(-2),1,yes
244,d5:r81:peven:b1,retarded_return,245,d5:r81:peven:b2,0.308641975308642,rho_star^(-2),1,yes
245,d5:r81:peven:b2,retarded_return,245,d5:r81:peven:b2,0.308641975308642,rho_star^(-2),1,yes
246,d5:r82:podd:b0,retarded_return,257,d5:r85:peven:b2,0.308641975308642,rho_star^(-2),1,yes
247,d5:r82:peven:b1,retarded_return,257,d5:r85:peven:b2,0.308641975308642,rho_star^(-2),1,yes
248,d5:r82:peven:b2,retarded_return,257,d5:r85:peven:b2,0.308641975308642,rho_star^(-2),1,yes
249,d5:r83:podd:b0,retarded_return,269,d5:r89:peven:b2,0.308641975308642,rho_star^(-2),1,yes
249,d5:r83:podd:b0,advanced_rebased_return,165,d5:r55:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
249,d5:r83:podd:b0,advanced_rebased_return,408,d5:r136:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
249,d5:r83:podd:b0,advanced_rebased_return,651,d5:r217:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
250,d5:r83:peven:b1,retarded_return,269,d5:r89:peven:b2,0.308641975308642,rho_star^(-2),1,yes
250,d5:r83:peven:b1,advanced_rebased_return,165,d5:r55:podd:b0,0.235057218420095,0.5*rho_star^(alpha-1)*child_mult*rebase_mult,1*1/3,yes
