core_local_id,state_id,state,residue_mod_9,parity,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
123,655,d5:r218:peven:b1,2,even,1,19712,1.971200000000000035e-02,2.000415281161149750e-02,1.990911999999999890e-02,1.004773330594797676e+00,yes
124,656,d5:r218:peven:b2,2,even,2,547,5.469999999999999602e-04,5.549382716049383471e-04,5.524700000000000010e-04,1.004467702508621940e+00,yes
125,665,d5:r221:peven:b2,5,even,2,870,8.700000000000000051e-04,8.833333333333334095e-04,8.787000000000000539e-04,1.005272941087212102e+00,yes
126,674,d5:r224:peven:b2,8,even,2,2249,2.249000000000000131e-03,2.282098765432098979e-03,2.271490000000000141e-03,1.004670399355532595e+00,yes
127,683,d5:r227:peven:b2,2,even,2,441,4.409999999999999858e-04,4.484567901234568594e-04,4.454099999999999791e-04,1.006840416971906516e+00,yes
128,691,d5:r230:peven:b1,5,even,1,342,3.420000000000000188e-04,3.471011592003404606e-04,3.454200000000000369e-04,1.004867000174687108e+00,yes
129,692,d5:r230:peven:b2,5,even,2,40,4.000000000000000327e-05,4.135802469135803420e-05,4.040000000000000622e-05,1.023713482459357227e+00,yes
130,701,d5:r233:peven:b2,8,even,2,186,1.859999999999999945e-04,1.891975308641975697e-04,1.878600000000000072e-04,1.007119827872871021e+00,yes
131,710,d5:r236:peven:b2,2,even,2,11614,1.161399999999999932e-02,1.178611111111111352e-02,1.173014000000000001e-02,1.004771563775974874e+00,yes
132,719,d5:r239:peven:b2,5,even,2,1453,1.453000000000000081e-03,1.474382716049382975e-03,1.467530000000000093e-03,1.004669557725826889e+00,yes
133,727,d5:r242:peven:b1,8,even,1,3427,3.426999999999999925e-03,3.478063308556007989e-03,3.461269999999999798e-03,1.004851776531737739e+00,yes
134,728,d5:r242:peven:b2,8,even,2,1350,1.350000000000000071e-03,1.370061728395061823e-03,1.363500000000000129e-03,1.004812415397918324e+00,yes
