source_id,source,branch,target,target_id,multiplicity_fraction,route,rule_derived
420,d5:r20:podd:b0,advanced,d4:r13:podd:b0,156,1/1,VISIBLE,yes
421,d5:r20:peven:b1,retarded,d5:r80:peven:b2,602,1,VISIBLE,yes
421,d5:r20:peven:b1,advanced,d4:r13:podd:b0,156,1/1,VISIBLE,yes
422,d5:r20:peven:b2,retarded,d5:r80:peven:b2,602,1,VISIBLE,yes
422,d5:r20:peven:b2,advanced,d4:r13:podd:b0,156,1/1,VISIBLE,yes
423,d5:r21:podd:b0,retarded,d5:r84:peven:b2,614,1,VISIBLE,yes
424,d5:r21:peven:b1,retarded,d5:r84:peven:b2,614,1,VISIBLE,yes
425,d5:r21:peven:b2,retarded,d5:r84:peven:b2,614,1,VISIBLE,yes
426,d5:r22:podd:b0,retarded,d5:r88:peven:b2,626,1,VISIBLE,yes
427,d5:r22:peven:b1,retarded,d5:r88:peven:b2,626,1,VISIBLE,yes
428,d5:r22:peven:b2,retarded,d5:r88:peven:b2,626,1,VISIBLE,yes
429,d5:r23:podd:b0,retarded,d5:r92:peven:b2,638,1,VISIBLE,yes
429,d5:r23:podd:b0,advanced,d4:r15:podd:b0,162,1/1,VISIBLE,yes
430,d5:r23:peven:b1,retarded,d5:r92:peven:b2,638,1,VISIBLE,yes
430,d5:r23:peven:b1,advanced,d4:r15:podd:b0,162,1/1,VISIBLE,yes
431,d5:r23:peven:b2,retarded,d5:r92:peven:b2,638,1,VISIBLE,yes
431,d5:r23:peven:b2,advanced,d4:r15:podd:b0,162,1/1,VISIBLE,yes
432,d5:r24:podd:b0,retarded,d5:r96:peven:b2,650,1,VISIBLE,yes
433,d5:r24:peven:b1,retarded,d5:r96:peven:b2,650,1,VISIBLE,yes
434,d5:r24:peven:b2,retarded,d5:r96:peven:b2,650,1,VISIBLE,yes
435,d5:r25:podd:b0,retarded,d5:r100:peven:b2,662,1,VISIBLE,yes
436,d5:r25:peven:b1,retarded,d5:r100:peven:b2,662,1,VISIBLE,yes
437,d5:r25:peven:b2,retarded,d5:r100:peven:b2,662,1,VISIBLE,yes
438,d5:r26:podd:b0,retarded,d5:r104:peven:b2,674,1,VISIBLE,yes
438,d5:r26:podd:b0,advanced,d4:r17:podd:b0,168,1/1,VISIBLE,yes
439,d5:r26:peven:b1,retarded,d5:r104:peven:b2,674,1,VISIBLE,yes
439,d5:r26:peven:b1,advanced,d4:r17:podd:b0,168,1/1,VISIBLE,yes
440,d5:r26:peven:b2,retarded,d5:r104:peven:b2,674,1,VISIBLE,yes
440,d5:r26:peven:b2,advanced,d4:r17:podd:b0,168,1/1,VISIBLE,yes
441,d5:r27:podd:b0,retarded,d5:r108:peven:b2,686,1,VISIBLE,yes
442,d5:r27:peven:b1,retarded,d5:r108:peven:b2,686,1,VISIBLE,yes
