phase,interval_lower,interval_upper_exclusive,modulus,parent_class,parent_residue,lift,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,interval_hook,root_residue_hook,lift_index_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,1,10369,36,2,2,0,3242,2161,4322,10,3319808,3319296,2246,1693,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3350,2233,4466,8,857600,857472,1117,1004,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3350,2233,4466,9,1715200,1714944,2132,1810,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3350,2233,4466,10,3430400,3429888,4249,3670,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3458,2305,4610,8,885248,885120,2535,2385,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3458,2305,4610,9,1770496,1770240,4848,4530,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3458,2305,4610,10,3540992,3540480,9764,9182,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3566,2377,4754,8,912896,912768,1682,1524,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3566,2377,4754,9,1825792,1825536,3226,2918,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3566,2377,4754,10,3651584,3651072,6520,5899,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3674,2449,4898,8,940544,940416,5082,4919,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3674,2449,4898,9,1881088,1880832,9841,9532,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3674,2449,4898,10,3762176,3761664,19180,18629,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3782,2521,5042,8,968192,968064,4629,4445,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3782,2521,5042,9,1936384,1936128,9447,9052,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3782,2521,5042,10,3872768,3872256,18102,17379,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3890,2593,5186,8,995840,995712,1476,1021,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3890,2593,5186,9,1991680,1991424,2989,2136,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3890,2593,5186,10,3983360,3982848,6039,4064,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3998,2665,5330,8,1023488,1023360,1504,1119,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3998,2665,5330,9,2046976,2046720,2940,2191,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,3998,2665,5330,10,4093952,4093440,5588,4037,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4106,2737,5474,8,1051136,1051008,1358,1199,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4106,2737,5474,9,2102272,2102016,2516,2243,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4106,2737,5474,10,4204544,4204032,4976,4436,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4214,2809,5618,8,1078784,1078656,872,418,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4214,2809,5618,9,2157568,2157312,1712,796,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4214,2809,5618,10,4315136,4314624,3449,1615,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4322,2881,5762,8,1106432,1106304,584,464,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4322,2881,5762,9,2212864,2212608,1107,863,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4322,2881,5762,10,4425728,4425216,2198,1763,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4430,2953,5906,8,1134080,1133952,954,781,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4430,2953,5906,9,2268160,2267904,2005,1637,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4430,2953,5906,10,4536320,4535808,4150,3463,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4538,3025,6050,8,1161728,1161600,1189,1016,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4538,3025,6050,9,2323456,2323200,2312,1996,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4538,3025,6050,10,4646912,4646400,4704,4116,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4646,3097,6194,8,1189376,1189248,988,866,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4646,3097,6194,9,2378752,2378496,1877,1650,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4646,3097,6194,10,4757504,4756992,4030,3625,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4754,3169,6338,8,1217024,1216896,1999,1576,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4754,3169,6338,9,2434048,2433792,3866,2966,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4754,3169,6338,10,4868096,4867584,7884,6233,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4862,3241,6482,8,1244672,1244544,1560,1276,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4862,3241,6482,9,2489344,2489088,3009,2492,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4862,3241,6482,10,4978688,4978176,5632,4702,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4970,3313,6626,8,1272320,1272192,813,599,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4970,3313,6626,9,2544640,2544384,1457,1069,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,4970,3313,6626,10,5089280,5088768,3068,2222,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5078,3385,6770,8,1299968,1299840,1469,1241,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5078,3385,6770,9,2599936,2599680,2980,2484,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5078,3385,6770,10,5199872,5199360,6231,4995,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5186,3457,6914,8,1327616,1327488,1325,1100,True,True,True,True,True,True,True,True
calibration,1,10369,36,2,2,0,5186,3457,6914,9,2655232,2654976,2772,2316,True,True,True,True,True,True,True,True
