mode,row_kind,retarded_mode,auxiliary_mode,target,slack
4538,D1,18152,6050,617913559/100000000,561143217074233003328467/62059406512500000000000000000
4541,D2,18164,,255944673/50000000,1860286729367/248237626050000000
4544,D3,18176,3029,4235399/1250000,6164233884116583905823918239/1241188130250000000000000000000000
4547,D1,18188,6062,23214101/6250000,168719557477448657412439/31029703256250000000000000000
4550,D2,18200,,179325541/100000000,1305040561139/496475252100000000
4553,D3,18212,3035,103045689/20000000,3744916060039656969882524291/496475252100000000000000000000000
4556,D1,18224,6074,398809079/25000000,724715658930696051441601/31029703256250000000000000000
4559,D2,18236,,4818073/4000000,34966887967/19859010084000000
4562,D3,18248,3041,548002337/50000000,19919194768995600834588996889/1241188130250000000000000000000000
4565,D1,18260,6086,53778891/12500000,781658854836291386211163/124118813025000000000000000000
4568,D2,18272,,56265481/25000000,408959972399/124118813025000000
4571,D3,18284,3047,377115439/100000000,342298623174965296936060457/62059406512500000000000000000000
4574,D1,18296,6098,28837601/6250000,839439572921140387052453/124118813025000000000000000000
4577,D2,18308,,28542283/20000000,23044517173/11032783380000000
4580,D3,18320,3053,1594710007/100000000,38648579704183618227649623407/1654917507000000000000000000000000
4583,D1,18332,6110,273930217/50000000,110712267683964943407211/13790979225000000000000000000
4586,D2,18344,,5810453/5000000,42180097987/24823762605000000
4589,D3,18356,3059,411050651/50000000,59730786322348240911928441009/4964752521000000000000000000000000
4592,D1,18368,6122,653334717/100000000,296898098921255255733143/31029703256250000000000000000
4595,D2,18380,,168420931/50000000,135980953661/27581958450000000
4598,D3,18392,3065,169922179/50000000,24653231869422075644241551347/4964752521000000000000000000000000
4601,D1,18404,6134,308749553/50000000,1122268303694091648016999/124118813025000000000000000000
4604,D2,18416,,56585663/50000000,137256097859/82745875350000000
4607,D3,18428,3071,38532447/2500000,112075166738374579802881096009/4964752521000000000000000000000000
4610,D1,18440,6146,1087318313/100000000,494102973350704627043563/31029703256250000000000000000
4613,D2,18452,,182321417/100000000,1325316957743/496475252100000000
4616,D3,18464,3077,4303155497/100000000,312822898005781346762335597853/4964752521000000000000000000000000
4619,D1,18476,6158,502228421/100000000,912914247713613154523533/124118813025000000000000000000
4622,D2,18488,,525044019/100000000,424070419789/55163916900000000
4625,D3,18500,3083,608384673/100000000,14737865481139716934201715959/1654917507000000000000000000000000
4628,D1,18512,6170,222566629/50000000,134785766525254561944653/20686468837500000000000000000
4631,D2,18524,,64824953/25000000,471169543487/124118813025000000
4634,D3,18536,3089,638828207/100000000,71696554639214699161962141/7661655125000000000000000000000
4637,D1,18548,6182,572019743/50000000,83167802038992493357891/4964752521000000000000000000
4640,D2,18560,,81809263/50000000,596079597977/248237626050000000
4643,D3,18572,3095,444640551/50000000,21555213156716422999740555427/1654917507000000000000000000000000
4646,D1,18584,6194,27844911/5000000,337205550885231428962139/41372937675000000000000000000
4649,D2,18596,,237248671/100000000,1724948850409/496475252100000000
4652,D3,18608,3101,53253039/20000000,19358016773138683458030458033/4964752521000000000000000000000000
4655,D1,18620,6206,34137293/6250000,496374243550342933382231/62059406512500000000000000000
4658,D2,18632,,212510869/100000000,1544992349251/496475252100000000
4661,D3,18644,3107,548287141/100000000,7978479866747284186949012767/992950504200000000000000000000000
4664,D1,18656,6218,152513897/25000000,1108666947608480344639253/124118813025000000000000000000
4667,D2,18668,,137752471/100000000,334509590203/165491750700000000
4670,D3,18680,3113,648405279/100000000,47148020707974461288374135009/4964752521000000000000000000000000
4673,D1,18692,6230,121787483/20000000,1107798953625852882645901/124118813025000000000000000000
4676,D2,18704,,88570233/20000000,644267692607/99295050420000000
4679,D3,18716,3119,36989877/10000000,26881224777467841969170294591/4964752521000000000000000000000000
4682,D1,18728,6242,641709761/100000000,1165614425243663012923469/124118813025000000000000000000
4685,D2,18740,,30292577/25000000,220371663383/124118813025000000
4688,D3,18752,3125,18569011/2000000,22502562091672556316038500523/1654917507000000000000000000000000
4691,D1,18764,6254,1090677757/100000000,220223333709524326394311/13790979225000000000000000000
4694,D2,18776,,166041283/100000000,1204835675557/496475252100000000
4697,D3,18788,3131,50513981/6250000,4893254756761651740231720151/413729376750000000000000000000000
4700,D1,18800,6266,100864443/25000000,733354179702665989947269/124118813025000000000000000000
4703,D2,18812,,424376191/100000000,3082280372489/496475252100000000
4706,D3,18824,3137,119070343/25000000,3850033451177144617258072939/551639169000000000000000000000000
4709,D1,18836,6278,377710797/100000000,343416332957771042725013/62059406512500000000000000000
4712,D2,18848,,78142527/25000000,568479439433/124118813025000000
4715,D3,18860,3143,360271453/50000000,8729557105465122470513203789/827458753500000000000000000000000
4718,D1,18872,6290,460732189/50000000,104657672166022241481053/7757425814062500000000000000
4721,D2,18884,,118680607/100000000,286534313251/165491750700000000
4724,D3,18896,3149,876838269/50000000,127511713728424765720916150809/4964752521000000000000000000000000
4727,D1,18908,6302,195819551/50000000,711820552505527765323463/124118813025000000000000000000
4730,D2,18920,,16357239/6250000,119038150481/31029703256250000
4733,D3,18932,3155,140255061/50000000,10199418579666538777663528831/2482376260500000000000000000000000
4736,D1,18944,6314,70862417/12500000,42929928638908644974491/5171617209375000000000000000
4739,D2,18956,,223992129/100000000,1631263092791/496475252100000000
4742,D3,18968,3161,946498061/100000000,238977349435637349723923473/17238724031250000000000000000000
4745,D1,18980,6326,313719627/50000000,190102466930144930713211/20686468837500000000000000000
4748,D2,18992,,8426267/5000000,20423043631/8274587535000000
4751,D3,19004,3167,89209281/10000000,360240639293003455916061251/27581958450000000000000000000000
4754,D1,19016,6338,933123159/100000000,212009356570634113454621/15514851628125000000000000000
4757,D2,19028,,193351029/100000000,469111435297/165491750700000000
4760,D3,19040,3173,44144949/10000000,6409605911623917516788977429/992950504200000000000000000000000
4763,D1,19052,6350,413056253/100000000,30032479324119615157247/4964752521000000000000000000
4766,D2,19064,,134437281/100000000,979838864599/496475252100000000
4769,D3,19076,3179,21835301/781250,16933172323765465739197163287/413729376750000000000000000000000
4772,D1,19088,6362,667722011/100000000,1213694443429696140744959/124118813025000000000000000000
4775,D2,19100,,116992567/100000000,850048488593/496475252100000000
4778,D3,19112,3185,222897149/20000000,16206303447610403611233557549/992950504200000000000000000000000
4781,D1,19124,6374,990187529/100000000,11249838809950744109563/775742581406250000000000000
4784,D2,19136,,141178047/20000000,1026126893513/99295050420000000
4787,D3,19148,3191,116526021/25000000,44153213005473237663637513/6464521511718750000000000000000
4790,D1,19160,6386,668495949/100000000,1214988693760866786687193/124118813025000000000000000000
4793,D2,19172,,213348527/100000000,1549925113433/496475252100000000
4796,D3,19184,3197,429155591/50000000,31194461056604179585072526443/2482376260500000000000000000000000
4799,D1,19196,6398,1034442439/100000000,470035876448444141651797/31029703256250000000000000000
