source_id,source,channel,child_mod3,target_id,target,weight_decimal,weight_formula,memberwise_precedent
132,d5:r44:podd:b0,retarded,,530,d5:r176:peven:b2,0.308641975308642,rho_star^(-2),retarded core
132,d5:r44:podd:b0,advanced_direct_c2,2,87,d5:r29:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
133,d5:r44:peven:b1,retarded,,530,d5:r176:peven:b2,0.308641975308642,rho_star^(-2),retarded core
133,d5:r44:peven:b1,advanced_direct_c2,2,87,d5:r29:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
134,d5:r44:peven:b2,retarded,,530,d5:r176:peven:b2,0.308641975308642,rho_star^(-2),retarded core
134,d5:r44:peven:b2,advanced_direct_c2,2,87,d5:r29:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
135,d5:r45:podd:b0,retarded,,542,d5:r180:peven:b2,0.308641975308642,rho_star^(-2),retarded core
136,d5:r45:peven:b1,retarded,,542,d5:r180:peven:b2,0.308641975308642,rho_star^(-2),retarded core
137,d5:r45:peven:b2,retarded,,542,d5:r180:peven:b2,0.308641975308642,rho_star^(-2),retarded core
138,d5:r46:podd:b0,retarded,,554,d5:r184:peven:b2,0.308641975308642,rho_star^(-2),retarded core
139,d5:r46:peven:b1,retarded,,554,d5:r184:peven:b2,0.308641975308642,rho_star^(-2),retarded core
140,d5:r46:peven:b2,retarded,,554,d5:r184:peven:b2,0.308641975308642,rho_star^(-2),retarded core
141,d5:r47:podd:b0,retarded,,566,d5:r188:peven:b2,0.308641975308642,rho_star^(-2),retarded core
141,d5:r47:podd:b0,advanced_parity_lift_c1,1,187,d5:r62:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
142,d5:r47:peven:b1,retarded,,566,d5:r188:peven:b2,0.308641975308642,rho_star^(-2),retarded core
142,d5:r47:peven:b1,advanced_parity_lift_c1,1,187,d5:r62:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
143,d5:r47:peven:b2,retarded,,566,d5:r188:peven:b2,0.308641975308642,rho_star^(-2),retarded core
143,d5:r47:peven:b2,advanced_parity_lift_c1,1,187,d5:r62:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
144,d5:r48:podd:b0,retarded,,578,d5:r192:peven:b2,0.308641975308642,rho_star^(-2),retarded core
145,d5:r48:peven:b1,retarded,,578,d5:r192:peven:b2,0.308641975308642,rho_star^(-2),retarded core
146,d5:r48:peven:b2,retarded,,578,d5:r192:peven:b2,0.308641975308642,rho_star^(-2),retarded core
147,d5:r49:podd:b0,retarded,,590,d5:r196:peven:b2,0.308641975308642,rho_star^(-2),retarded core
148,d5:r49:peven:b1,retarded,,590,d5:r196:peven:b2,0.308641975308642,rho_star^(-2),retarded core
149,d5:r49:peven:b2,retarded,,590,d5:r196:peven:b2,0.308641975308642,rho_star^(-2),retarded core
150,d5:r50:podd:b0,retarded,,602,d5:r200:peven:b2,0.308641975308642,rho_star^(-2),retarded core
151,d5:r50:peven:b1,retarded,,602,d5:r200:peven:b2,0.308641975308642,rho_star^(-2),retarded core
152,d5:r50:peven:b2,retarded,,602,d5:r200:peven:b2,0.308641975308642,rho_star^(-2),retarded core
153,d5:r51:podd:b0,retarded,,614,d5:r204:peven:b2,0.308641975308642,rho_star^(-2),retarded core
154,d5:r51:peven:b1,retarded,,614,d5:r204:peven:b2,0.308641975308642,rho_star^(-2),retarded core
155,d5:r51:peven:b2,retarded,,614,d5:r204:peven:b2,0.308641975308642,rho_star^(-2),retarded core
156,d5:r52:podd:b0,retarded,,626,d5:r208:peven:b2,0.308641975308642,rho_star^(-2),retarded core
157,d5:r52:peven:b1,retarded,,626,d5:r208:peven:b2,0.308641975308642,rho_star^(-2),retarded core
158,d5:r52:peven:b2,retarded,,626,d5:r208:peven:b2,0.308641975308642,rho_star^(-2),retarded core
159,d5:r53:podd:b0,retarded,,638,d5:r212:peven:b2,0.308641975308642,rho_star^(-2),retarded core
159,d5:r53:podd:b0,advanced_direct_c2,2,105,d5:r35:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
160,d5:r53:peven:b1,retarded,,638,d5:r212:peven:b2,0.308641975308642,rho_star^(-2),retarded core
160,d5:r53:peven:b1,advanced_direct_c2,2,105,d5:r35:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
161,d5:r53:peven:b2,retarded,,638,d5:r212:peven:b2,0.308641975308642,rho_star^(-2),retarded core
161,d5:r53:peven:b2,advanced_direct_c2,2,105,d5:r35:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
162,d5:r54:podd:b0,retarded,,650,d5:r216:peven:b2,0.308641975308642,rho_star^(-2),retarded core
163,d5:r54:peven:b1,retarded,,650,d5:r216:peven:b2,0.308641975308642,rho_star^(-2),retarded core
164,d5:r54:peven:b2,retarded,,650,d5:r216:peven:b2,0.308641975308642,rho_star^(-2),retarded core
165,d5:r55:podd:b0,retarded,,662,d5:r220:peven:b2,0.308641975308642,rho_star^(-2),retarded core
166,d5:r55:peven:b1,retarded,,662,d5:r220:peven:b2,0.308641975308642,rho_star^(-2),retarded core
167,d5:r55:peven:b2,retarded,,662,d5:r220:peven:b2,0.308641975308642,rho_star^(-2),retarded core
168,d5:r56:podd:b0,retarded,,674,d5:r224:peven:b2,0.308641975308642,rho_star^(-2),retarded core
168,d5:r56:podd:b0,advanced_parity_lift_c1,1,223,d5:r74:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
169,d5:r56:peven:b1,retarded,,674,d5:r224:peven:b2,0.308641975308642,rho_star^(-2),retarded core
169,d5:r56:peven:b1,advanced_parity_lift_c1,1,223,d5:r74:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
170,d5:r56:peven:b2,retarded,,674,d5:r224:peven:b2,0.308641975308642,rho_star^(-2),retarded core
170,d5:r56:peven:b2,advanced_parity_lift_c1,1,223,d5:r74:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
171,d5:r57:podd:b0,retarded,,686,d5:r228:peven:b2,0.308641975308642,rho_star^(-2),retarded core
172,d5:r57:peven:b1,retarded,,686,d5:r228:peven:b2,0.308641975308642,rho_star^(-2),retarded core
173,d5:r57:peven:b2,retarded,,686,d5:r228:peven:b2,0.308641975308642,rho_star^(-2),retarded core
174,d5:r58:podd:b0,retarded,,698,d5:r232:peven:b2,0.308641975308642,rho_star^(-2),retarded core
175,d5:r58:peven:b1,retarded,,698,d5:r232:peven:b2,0.308641975308642,rho_star^(-2),retarded core
176,d5:r58:peven:b2,retarded,,698,d5:r232:peven:b2,0.308641975308642,rho_star^(-2),retarded core
177,d5:r59:podd:b0,retarded,,710,d5:r236:peven:b2,0.308641975308642,rho_star^(-2),retarded core
178,d5:r59:peven:b1,retarded,,710,d5:r236:peven:b2,0.308641975308642,rho_star^(-2),retarded core
179,d5:r59:peven:b2,retarded,,710,d5:r236:peven:b2,0.308641975308642,rho_star^(-2),retarded core
180,d5:r60:podd:b0,retarded,,722,d5:r240:peven:b2,0.308641975308642,rho_star^(-2),retarded core
181,d5:r60:peven:b1,retarded,,722,d5:r240:peven:b2,0.308641975308642,rho_star^(-2),retarded core
182,d5:r60:peven:b2,retarded,,722,d5:r240:peven:b2,0.308641975308642,rho_star^(-2),retarded core
183,d5:r61:podd:b0,retarded,,5,d5:r1:peven:b2,0.308641975308642,rho_star^(-2),retarded core
184,d5:r61:peven:b1,retarded,,5,d5:r1:peven:b2,0.308641975308642,rho_star^(-2),retarded core
185,d5:r61:peven:b2,retarded,,5,d5:r1:peven:b2,0.308641975308642,rho_star^(-2),retarded core
186,d5:r62:podd:b0,retarded,,17,d5:r5:peven:b2,0.308641975308642,rho_star^(-2),retarded core
186,d5:r62:podd:b0,advanced_direct_c2,2,123,d5:r41:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
187,d5:r62:peven:b1,retarded,,17,d5:r5:peven:b2,0.308641975308642,rho_star^(-2),retarded core
187,d5:r62:peven:b1,advanced_direct_c2,2,123,d5:r41:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
188,d5:r62:peven:b2,retarded,,17,d5:r5:peven:b2,0.308641975308642,rho_star^(-2),retarded core
188,d5:r62:peven:b2,advanced_direct_c2,2,123,d5:r41:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
189,d5:r63:podd:b0,retarded,,29,d5:r9:peven:b2,0.308641975308642,rho_star^(-2),retarded core
190,d5:r63:peven:b1,retarded,,29,d5:r9:peven:b2,0.308641975308642,rho_star^(-2),retarded core
191,d5:r63:peven:b2,retarded,,29,d5:r9:peven:b2,0.308641975308642,rho_star^(-2),retarded core
192,d5:r64:podd:b0,retarded,,41,d5:r13:peven:b2,0.308641975308642,rho_star^(-2),retarded core
193,d5:r64:peven:b1,retarded,,41,d5:r13:peven:b2,0.308641975308642,rho_star^(-2),retarded core
194,d5:r64:peven:b2,retarded,,41,d5:r13:peven:b2,0.308641975308642,rho_star^(-2),retarded core
195,d5:r65:podd:b0,retarded,,53,d5:r17:peven:b2,0.308641975308642,rho_star^(-2),retarded core
195,d5:r65:podd:b0,advanced_parity_lift_c1,1,259,d5:r86:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
196,d5:r65:peven:b1,retarded,,53,d5:r17:peven:b2,0.308641975308642,rho_star^(-2),retarded core
196,d5:r65:peven:b1,advanced_parity_lift_c1,1,259,d5:r86:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
197,d5:r65:peven:b2,retarded,,53,d5:r17:peven:b2,0.308641975308642,rho_star^(-2),retarded core
197,d5:r65:peven:b2,advanced_parity_lift_c1,1,259,d5:r86:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
198,d5:r66:podd:b0,retarded,,65,d5:r21:peven:b2,0.308641975308642,rho_star^(-2),retarded core
199,d5:r66:peven:b1,retarded,,65,d5:r21:peven:b2,0.308641975308642,rho_star^(-2),retarded core
200,d5:r66:peven:b2,retarded,,65,d5:r21:peven:b2,0.308641975308642,rho_star^(-2),retarded core
201,d5:r67:podd:b0,retarded,,77,d5:r25:peven:b2,0.308641975308642,rho_star^(-2),retarded core
202,d5:r67:peven:b1,retarded,,77,d5:r25:peven:b2,0.308641975308642,rho_star^(-2),retarded core
203,d5:r67:peven:b2,retarded,,77,d5:r25:peven:b2,0.308641975308642,rho_star^(-2),retarded core
204,d5:r68:podd:b0,retarded,,89,d5:r29:peven:b2,0.308641975308642,rho_star^(-2),retarded core
205,d5:r68:peven:b1,retarded,,89,d5:r29:peven:b2,0.308641975308642,rho_star^(-2),retarded core
206,d5:r68:peven:b2,retarded,,89,d5:r29:peven:b2,0.308641975308642,rho_star^(-2),retarded core
207,d5:r69:podd:b0,retarded,,101,d5:r33:peven:b2,0.308641975308642,rho_star^(-2),retarded core
208,d5:r69:peven:b1,retarded,,101,d5:r33:peven:b2,0.308641975308642,rho_star^(-2),retarded core
209,d5:r69:peven:b2,retarded,,101,d5:r33:peven:b2,0.308641975308642,rho_star^(-2),retarded core
210,d5:r70:podd:b0,retarded,,113,d5:r37:peven:b2,0.308641975308642,rho_star^(-2),retarded core
211,d5:r70:peven:b1,retarded,,113,d5:r37:peven:b2,0.308641975308642,rho_star^(-2),retarded core
212,d5:r70:peven:b2,retarded,,113,d5:r37:peven:b2,0.308641975308642,rho_star^(-2),retarded core
213,d5:r71:podd:b0,retarded,,125,d5:r41:peven:b2,0.308641975308642,rho_star^(-2),retarded core
213,d5:r71:podd:b0,advanced_direct_c2,2,141,d5:r47:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
214,d5:r71:peven:b1,retarded,,125,d5:r41:peven:b2,0.308641975308642,rho_star^(-2),retarded core
214,d5:r71:peven:b1,advanced_direct_c2,2,141,d5:r47:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
215,d5:r71:peven:b2,retarded,,125,d5:r41:peven:b2,0.308641975308642,rho_star^(-2),retarded core
215,d5:r71:peven:b2,advanced_direct_c2,2,141,d5:r47:podd:b0,1.410343310520570,rho_star^(log_2(3)-1),PHASE_B advanced identity
216,d5:r72:podd:b0,retarded,,137,d5:r45:peven:b2,0.308641975308642,rho_star^(-2),retarded core
217,d5:r72:peven:b1,retarded,,137,d5:r45:peven:b2,0.308641975308642,rho_star^(-2),retarded core
218,d5:r72:peven:b2,retarded,,137,d5:r45:peven:b2,0.308641975308642,rho_star^(-2),retarded core
219,d5:r73:podd:b0,retarded,,149,d5:r49:peven:b2,0.308641975308642,rho_star^(-2),retarded core
220,d5:r73:peven:b1,retarded,,149,d5:r49:peven:b2,0.308641975308642,rho_star^(-2),retarded core
221,d5:r73:peven:b2,retarded,,149,d5:r49:peven:b2,0.308641975308642,rho_star^(-2),retarded core
222,d5:r74:podd:b0,retarded,,161,d5:r53:peven:b2,0.308641975308642,rho_star^(-2),retarded core
222,d5:r74:podd:b0,advanced_parity_lift_c1,1,295,d5:r98:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
223,d5:r74:peven:b1,retarded,,161,d5:r53:peven:b2,0.308641975308642,rho_star^(-2),retarded core
223,d5:r74:peven:b1,advanced_parity_lift_c1,1,295,d5:r98:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
224,d5:r74:peven:b2,retarded,,161,d5:r53:peven:b2,0.308641975308642,rho_star^(-2),retarded core
224,d5:r74:peven:b2,advanced_parity_lift_c1,1,295,d5:r98:peven:b1,0.783524061400317,rho_star^(log_2(3)-1)*rho_star^(-1),row22 parity lift
225,d5:r75:podd:b0,retarded,,173,d5:r57:peven:b2,0.308641975308642,rho_star^(-2),retarded core
