a,c,x,qAdv,xAdv,target_count,retarded_count,advanced_full_count,advanced_window_count,e5_numerator,e5_gap,deterministic_atom_gap,advanced_window_gap,closure_percent,partition_ok,pairwise_disjoint_ok,advanced_subset_ok,gap_identity_ok,route_hooks_ok,window_hooks_ok,all_hooks_ok,target_sha256,retarded_sha256,advanced_full_sha256,advanced_window_sha256,advanced_boundary_examples
260,173,33280,64,33216,1278,37,1239,1239,1277,1,1,0,99.921752739,yes,yes,yes,yes,yes,yes,yes,11f928a8a0a0c0c97300e78950a71273fd0fa34bf2c690a51b22bfa3fe0f3f09,c9f70730fbb45766b706c15d3c2bbf0207e9d83fe1ac0d96f34ced79970d0394,c14cbfd501e1ecca44b0d45301afdfc78dd6f898398ada4dae8a1c27dd05e282,c14cbfd501e1ecca44b0d45301afdfc78dd6f898398ada4dae8a1c27dd05e282,
269,179,34432,64,34368,1031,56,973,973,1030,1,1,0,99.903006790,yes,yes,yes,yes,yes,yes,yes,670f70dc139a8f0a8ee825ff4f72e4ffa3689b2097420967387599ba342dea50,10492517c449bbe0df7b220430e1cd83299ceb3180707c6c619d53b755b74655,fe89774f58926d9886bb0650a806ed550ec1d7518f5096beae7da8e2f67270ab,fe89774f58926d9886bb0650a806ed550ec1d7518f5096beae7da8e2f67270ab,
278,185,35584,64,35520,230,64,164,164,229,1,1,0,99.565217391,yes,yes,yes,yes,yes,yes,yes,3ac4c60a89e9c5fbc096949b4beef137c2b59623cc7401a3b5a713b9721e2c10,77fa57827b25769ce95d002b77a1caac35651a343c510c1489575d06e408e63f,b29915102932a3bc38ac4aec6facbb4f8735332044756c0632b0554049c6ed14,b29915102932a3bc38ac4aec6facbb4f8735332044756c0632b0554049c6ed14,
287,191,36736,64,36672,659,47,610,610,658,1,1,0,99.848254932,yes,yes,yes,yes,yes,yes,yes,ecad08a49d9ec7c5cc0345c6271b85103890aa3d467f9b93c16badc616e65ab6,9b1ce3daa25612e65a890634c7f0f38e7c5e9f2ce9e7eca5a09bcd22eb9b8d21,3e209f87c4815210ff9e00de72a1d6a8505c64ffef4012e849b0a6cdce978226,3e209f87c4815210ff9e00de72a1d6a8505c64ffef4012e849b0a6cdce978226,
296,197,37888,64,37824,718,38,678,678,717,1,1,0,99.860724234,yes,yes,yes,yes,yes,yes,yes,99ad7819d72262015fcd39c8c1376338ecab8395b37d57f0bf7df51c8909a854,67737cbe88c3bc619e5235eb21337791b8bfe22f7b555f9e6908f96f1376a511,16e6cef37c62c571353a46912a13458262d1202a256b587c0cc0b32fd6a2bdfc,16e6cef37c62c571353a46912a13458262d1202a256b587c0cc0b32fd6a2bdfc,
305,203,39040,64,38976,277,109,166,166,276,1,1,0,99.638989170,yes,yes,yes,yes,yes,yes,yes,53ef4bb551b551cd5ed13f99ea33d17f648c17395085454ea4432aa4a95d5513,8720f867121d2e93e095f419cefec26ad04a21e9d58cb51a506f26b9991e4971,83b9a1cbf7daab5cb1e848352dc1600761671f7e298eb4d81386d08177ee4e3f,83b9a1cbf7daab5cb1e848352dc1600761671f7e298eb4d81386d08177ee4e3f,
314,209,40192,64,40128,1140,204,934,934,1139,1,1,0,99.912280702,yes,yes,yes,yes,yes,yes,yes,5bb80810b2fa15880dcc87cdb73e4894d75b61ad46604088878661e174b57d34,c59ecd249a30158b0e8779c6040b33dc225d74287541f42ec080f790f85c710b,e5c971e2a79798241caa35049d965edf73f5a10ec26cf84c2ca63e9d2dda9e3d,e5c971e2a79798241caa35049d965edf73f5a10ec26cf84c2ca63e9d2dda9e3d,
323,215,41344,64,41280,1655,34,1619,1619,1654,1,1,0,99.939577039,yes,yes,yes,yes,yes,yes,yes,fff9822a5f185fe6be5f116224adc2bb7760c0191147ca5a406500851ef8299f,b0cb736c413e781e32666c5930bfaeb55f381a9da5f5274805e059b9962a34ee,1f87cd9fbac0c0817773f75278e4ec1558e31a00c035655152ddacfba24727cf,1f87cd9fbac0c0817773f75278e4ec1558e31a00c035655152ddacfba24727cf,
332,221,42496,64,42432,410,65,343,343,409,1,1,0,99.756097561,yes,yes,yes,yes,yes,yes,yes,1c0027a6eee584930a11ce45fa33207b04ad9167b48dcaf0841bb2ad0315e373,447a6ededa7143b3cb3bb1ad37c2140ba54fbaa8be2ad859deee0767792c3a36,384b9f5aab6c7d4df1542c3837591575fd728cf0daf1358e0a8d37fe8f903b68,384b9f5aab6c7d4df1542c3837591575fd728cf0daf1358e0a8d37fe8f903b68,
341,227,43648,64,43584,955,35,918,918,954,1,1,0,99.895287958,yes,yes,yes,yes,yes,yes,yes,b8ad2a0c93c4f0cdee75728e5d0dabe9257aabd4c93e7470b60c22c4602de686,492d75187eb1822fec987e4901eca50171fd9354acd2b4396d178273fa797bb0,d73a8037acfa46e46d2065b79be6f1c982dc2b4c93799b37915879b1012a33bc,d73a8037acfa46e46d2065b79be6f1c982dc2b4c93799b37915879b1012a33bc,
