phase,modulus,parent_class,parent_residue,lift,q,a,c,advanced_child,y,x,xAdv,target_count,advanced_count,root_residue_hook,lift_index_hook,q_membership_hook,integral_c_hook,route_hook,window_hook,member_count_transfer_hook,all_hooks
calibration,36,2,11,1,3,371,247,494,9,189952,189696,2756,1329,True,True,True,True,True,True,True,True
calibration,36,2,11,1,3,371,247,494,10,379904,379392,5601,2673,True,True,True,True,True,True,True,True
calibration,36,2,11,1,4,479,319,638,8,122624,122496,27009,26734,True,True,True,True,True,True,True,True
calibration,36,2,11,1,4,479,319,638,9,245248,244992,52911,52354,True,True,True,True,True,True,True,True
calibration,36,2,11,1,4,479,319,638,10,490496,489984,105080,104039,True,True,True,True,True,True,True,True
calibration,36,2,11,1,5,587,391,782,8,150272,150144,2695,439,True,True,True,True,True,True,True,True
calibration,36,2,11,1,5,587,391,782,9,300544,300288,5398,748,True,True,True,True,True,True,True,True
calibration,36,2,11,1,5,587,391,782,10,601088,600576,10886,1426,True,True,True,True,True,True,True,True
calibration,36,2,11,1,6,695,463,926,8,177920,177792,2529,426,True,True,True,True,True,True,True,True
calibration,36,2,11,1,6,695,463,926,9,355840,355584,5199,946,True,True,True,True,True,True,True,True
calibration,36,2,11,1,6,695,463,926,10,711680,711168,10476,2279,True,True,True,True,True,True,True,True
calibration,36,2,11,1,7,803,535,1070,8,205568,205440,1445,1148,True,True,True,True,True,True,True,True
calibration,36,2,11,1,7,803,535,1070,9,411136,410880,2934,2313,True,True,True,True,True,True,True,True
calibration,36,2,11,1,7,803,535,1070,10,822272,821760,6308,4873,True,True,True,True,True,True,True,True
calibration,36,2,11,2,0,83,55,110,8,21248,21120,802,590,True,True,True,True,True,True,True,True
calibration,36,2,11,2,0,83,55,110,9,42496,42240,1741,1328,True,True,True,True,True,True,True,True
calibration,36,2,11,2,0,83,55,110,10,84992,84480,3239,2456,True,True,True,True,True,True,True,True
calibration,36,2,11,2,1,191,127,254,8,48896,48768,768,649,True,True,True,True,True,True,True,True
calibration,36,2,11,2,1,191,127,254,9,97792,97536,1383,1152,True,True,True,True,True,True,True,True
calibration,36,2,11,2,1,191,127,254,10,195584,195072,2880,2456,True,True,True,True,True,True,True,True
calibration,36,2,11,2,2,299,199,398,8,76544,76416,1356,1111,True,True,True,True,True,True,True,True
calibration,36,2,11,2,2,299,199,398,9,153088,152832,3246,2094,True,True,True,True,True,True,True,True
calibration,36,2,11,2,2,299,199,398,10,306176,305664,6463,4347,True,True,True,True,True,True,True,True
calibration,36,2,11,2,3,407,271,542,8,104192,104064,2962,2428,True,True,True,True,True,True,True,True
calibration,36,2,11,2,3,407,271,542,9,208384,208128,6039,4860,True,True,True,True,True,True,True,True
calibration,36,2,11,2,3,407,271,542,10,416768,416256,12354,10148,True,True,True,True,True,True,True,True
calibration,36,2,11,2,4,515,343,686,8,131840,131712,1313,1186,True,True,True,True,True,True,True,True
calibration,36,2,11,2,4,515,343,686,9,263680,263424,2512,2247,True,True,True,True,True,True,True,True
calibration,36,2,11,2,4,515,343,686,10,527360,526848,4864,4371,True,True,True,True,True,True,True,True
calibration,36,2,11,2,5,623,415,830,8,159488,159360,1668,1430,True,True,True,True,True,True,True,True
calibration,36,2,11,2,5,623,415,830,9,318976,318720,3432,2645,True,True,True,True,True,True,True,True
calibration,36,2,11,2,5,623,415,830,10,637952,637440,6527,5122,True,True,True,True,True,True,True,True
calibration,36,2,11,2,6,731,487,974,8,187136,187008,1523,1179,True,True,True,True,True,True,True,True
calibration,36,2,11,2,6,731,487,974,9,374272,374016,3201,2461,True,True,True,True,True,True,True,True
calibration,36,2,11,2,6,731,487,974,10,748544,748032,6223,4897,True,True,True,True,True,True,True,True
calibration,36,2,11,2,7,839,559,1118,8,214784,214656,606,423,True,True,True,True,True,True,True,True
calibration,36,2,11,2,7,839,559,1118,9,429568,429312,1183,801,True,True,True,True,True,True,True,True
