source_id,source,deep_lift,channel,target_id,target,weight_decimal,multiplicity
88,d5:r29:peven:b1,,retarded,350,d5:r116:peven:b2,3.086419753086419582e-01,1
88,d5:r29:peven:b1,0,advanced_parity_lift_c1,115,d5:r38:peven:b1,2.611746871334388875e-01,1/3
88,d5:r29:peven:b1,1,advanced_parity_lift_c1,358,d5:r119:peven:b1,2.611746871334388875e-01,1/3
88,d5:r29:peven:b1,2,advanced_parity_lift_c1,601,d5:r200:peven:b1,2.611746871334388875e-01,1/3
89,d5:r29:peven:b2,,retarded,350,d5:r116:peven:b2,3.086419753086419582e-01,1
89,d5:r29:peven:b2,0,advanced_parity_lift_c1,115,d5:r38:peven:b1,2.611746871334388875e-01,1/3
89,d5:r29:peven:b2,1,advanced_parity_lift_c1,358,d5:r119:peven:b1,2.611746871334388875e-01,1/3
89,d5:r29:peven:b2,2,advanced_parity_lift_c1,601,d5:r200:peven:b1,2.611746871334388875e-01,1/3
90,d5:r30:podd:b0,,retarded,362,d5:r120:peven:b2,3.086419753086419582e-01,1
91,d5:r30:peven:b1,,retarded,362,d5:r120:peven:b2,3.086419753086419582e-01,1
92,d5:r30:peven:b2,,retarded,362,d5:r120:peven:b2,3.086419753086419582e-01,1
93,d5:r31:podd:b0,,retarded,374,d5:r124:peven:b2,3.086419753086419582e-01,1
94,d5:r31:peven:b1,,retarded,374,d5:r124:peven:b2,3.086419753086419582e-01,1
95,d5:r31:peven:b2,,retarded,374,d5:r124:peven:b2,3.086419753086419582e-01,1
96,d5:r32:podd:b0,,retarded,386,d5:r128:peven:b2,3.086419753086419582e-01,1
97,d5:r32:peven:b1,,retarded,386,d5:r128:peven:b2,3.086419753086419582e-01,1
98,d5:r32:peven:b2,,retarded,386,d5:r128:peven:b2,3.086419753086419582e-01,1
99,d5:r33:podd:b0,,retarded,398,d5:r132:peven:b2,3.086419753086419582e-01,1
100,d5:r33:peven:b1,,retarded,398,d5:r132:peven:b2,3.086419753086419582e-01,1
101,d5:r33:peven:b2,,retarded,398,d5:r132:peven:b2,3.086419753086419582e-01,1
102,d5:r34:podd:b0,,retarded,410,d5:r136:peven:b2,3.086419753086419582e-01,1
103,d5:r34:peven:b1,,retarded,410,d5:r136:peven:b2,3.086419753086419582e-01,1
104,d5:r34:peven:b2,,retarded,410,d5:r136:peven:b2,3.086419753086419582e-01,1
105,d5:r35:podd:b0,,retarded,422,d5:r140:peven:b2,3.086419753086419582e-01,1
105,d5:r35:podd:b0,0,advanced_direct_c2,69,d5:r23:podd:b0,4.701144368401899420e-01,1/3
105,d5:r35:podd:b0,1,advanced_direct_c2,555,d5:r185:podd:b0,4.701144368401899420e-01,1/3
105,d5:r35:podd:b0,2,advanced_direct_c2,312,d5:r104:podd:b0,4.701144368401899420e-01,1/3
106,d5:r35:peven:b1,,retarded,422,d5:r140:peven:b2,3.086419753086419582e-01,1
106,d5:r35:peven:b1,0,advanced_direct_c2,69,d5:r23:podd:b0,4.701144368401899420e-01,1/3
106,d5:r35:peven:b1,1,advanced_direct_c2,555,d5:r185:podd:b0,4.701144368401899420e-01,1/3
106,d5:r35:peven:b1,2,advanced_direct_c2,312,d5:r104:podd:b0,4.701144368401899420e-01,1/3
107,d5:r35:peven:b2,,retarded,422,d5:r140:peven:b2,3.086419753086419582e-01,1
107,d5:r35:peven:b2,0,advanced_direct_c2,69,d5:r23:podd:b0,4.701144368401899420e-01,1/3
107,d5:r35:peven:b2,1,advanced_direct_c2,555,d5:r185:podd:b0,4.701144368401899420e-01,1/3
107,d5:r35:peven:b2,2,advanced_direct_c2,312,d5:r104:podd:b0,4.701144368401899420e-01,1/3
108,d5:r36:podd:b0,,retarded,434,d5:r144:peven:b2,3.086419753086419582e-01,1
109,d5:r36:peven:b1,,retarded,434,d5:r144:peven:b2,3.086419753086419582e-01,1
110,d5:r36:peven:b2,,retarded,434,d5:r144:peven:b2,3.086419753086419582e-01,1
111,d5:r37:podd:b0,,retarded,446,d5:r148:peven:b2,3.086419753086419582e-01,1
112,d5:r37:peven:b1,,retarded,446,d5:r148:peven:b2,3.086419753086419582e-01,1
113,d5:r37:peven:b2,,retarded,446,d5:r148:peven:b2,3.086419753086419582e-01,1
114,d5:r38:podd:b0,,retarded,458,d5:r152:peven:b2,3.086419753086419582e-01,1
114,d5:r38:podd:b0,0,advanced_parity_lift_c1,151,d5:r50:peven:b1,2.611746871334388875e-01,1/3
114,d5:r38:podd:b0,1,advanced_parity_lift_c1,394,d5:r131:peven:b1,2.611746871334388875e-01,1/3
114,d5:r38:podd:b0,2,advanced_parity_lift_c1,637,d5:r212:peven:b1,2.611746871334388875e-01,1/3
115,d5:r38:peven:b1,,retarded,458,d5:r152:peven:b2,3.086419753086419582e-01,1
115,d5:r38:peven:b1,0,advanced_parity_lift_c1,151,d5:r50:peven:b1,2.611746871334388875e-01,1/3
115,d5:r38:peven:b1,1,advanced_parity_lift_c1,394,d5:r131:peven:b1,2.611746871334388875e-01,1/3
115,d5:r38:peven:b1,2,advanced_parity_lift_c1,637,d5:r212:peven:b1,2.611746871334388875e-01,1/3
116,d5:r38:peven:b2,,retarded,458,d5:r152:peven:b2,3.086419753086419582e-01,1
116,d5:r38:peven:b2,0,advanced_parity_lift_c1,151,d5:r50:peven:b1,2.611746871334388875e-01,1/3
116,d5:r38:peven:b2,1,advanced_parity_lift_c1,394,d5:r131:peven:b1,2.611746871334388875e-01,1/3
116,d5:r38:peven:b2,2,advanced_parity_lift_c1,637,d5:r212:peven:b1,2.611746871334388875e-01,1/3
117,d5:r39:podd:b0,,retarded,470,d5:r156:peven:b2,3.086419753086419582e-01,1
118,d5:r39:peven:b1,,retarded,470,d5:r156:peven:b2,3.086419753086419582e-01,1
119,d5:r39:peven:b2,,retarded,470,d5:r156:peven:b2,3.086419753086419582e-01,1
120,d5:r40:podd:b0,,retarded,482,d5:r160:peven:b2,3.086419753086419582e-01,1
121,d5:r40:peven:b1,,retarded,482,d5:r160:peven:b2,3.086419753086419582e-01,1
122,d5:r40:peven:b2,,retarded,482,d5:r160:peven:b2,3.086419753086419582e-01,1
123,d5:r41:podd:b0,,retarded,494,d5:r164:peven:b2,3.086419753086419582e-01,1
124,d5:r41:peven:b1,,retarded,494,d5:r164:peven:b2,3.086419753086419582e-01,1
125,d5:r41:peven:b2,,retarded,494,d5:r164:peven:b2,3.086419753086419582e-01,1
126,d5:r42:podd:b0,,retarded,506,d5:r168:peven:b2,3.086419753086419582e-01,1
127,d5:r42:peven:b1,,retarded,506,d5:r168:peven:b2,3.086419753086419582e-01,1
128,d5:r42:peven:b2,,retarded,506,d5:r168:peven:b2,3.086419753086419582e-01,1
129,d5:r43:podd:b0,,retarded,518,d5:r172:peven:b2,3.086419753086419582e-01,1
130,d5:r43:peven:b1,,retarded,518,d5:r172:peven:b2,3.086419753086419582e-01,1
131,d5:r43:peven:b2,,retarded,518,d5:r172:peven:b2,3.086419753086419582e-01,1
132,d5:r44:podd:b0,,retarded,530,d5:r176:peven:b2,3.086419753086419582e-01,1
132,d5:r44:podd:b0,0,advanced_direct_c2,87,d5:r29:podd:b0,4.701144368401899420e-01,1/3
132,d5:r44:podd:b0,1,advanced_direct_c2,573,d5:r191:podd:b0,4.701144368401899420e-01,1/3
132,d5:r44:podd:b0,2,advanced_direct_c2,330,d5:r110:podd:b0,4.701144368401899420e-01,1/3
133,d5:r44:peven:b1,,retarded,530,d5:r176:peven:b2,3.086419753086419582e-01,1
133,d5:r44:peven:b1,0,advanced_direct_c2,87,d5:r29:podd:b0,4.701144368401899420e-01,1/3
133,d5:r44:peven:b1,1,advanced_direct_c2,573,d5:r191:podd:b0,4.701144368401899420e-01,1/3
133,d5:r44:peven:b1,2,advanced_direct_c2,330,d5:r110:podd:b0,4.701144368401899420e-01,1/3
134,d5:r44:peven:b2,,retarded,530,d5:r176:peven:b2,3.086419753086419582e-01,1
134,d5:r44:peven:b2,0,advanced_direct_c2,87,d5:r29:podd:b0,4.701144368401899420e-01,1/3
134,d5:r44:peven:b2,1,advanced_direct_c2,573,d5:r191:podd:b0,4.701144368401899420e-01,1/3
134,d5:r44:peven:b2,2,advanced_direct_c2,330,d5:r110:podd:b0,4.701144368401899420e-01,1/3
135,d5:r45:podd:b0,,retarded,542,d5:r180:peven:b2,3.086419753086419582e-01,1
136,d5:r45:peven:b1,,retarded,542,d5:r180:peven:b2,3.086419753086419582e-01,1
137,d5:r45:peven:b2,,retarded,542,d5:r180:peven:b2,3.086419753086419582e-01,1
138,d5:r46:podd:b0,,retarded,554,d5:r184:peven:b2,3.086419753086419582e-01,1
139,d5:r46:peven:b1,,retarded,554,d5:r184:peven:b2,3.086419753086419582e-01,1
140,d5:r46:peven:b2,,retarded,554,d5:r184:peven:b2,3.086419753086419582e-01,1
141,d5:r47:podd:b0,,retarded,566,d5:r188:peven:b2,3.086419753086419582e-01,1
141,d5:r47:podd:b0,0,advanced_parity_lift_c1,187,d5:r62:peven:b1,2.611746871334388875e-01,1/3
141,d5:r47:podd:b0,1,advanced_parity_lift_c1,430,d5:r143:peven:b1,2.611746871334388875e-01,1/3
141,d5:r47:podd:b0,2,advanced_parity_lift_c1,673,d5:r224:peven:b1,2.611746871334388875e-01,1/3
142,d5:r47:peven:b1,,retarded,566,d5:r188:peven:b2,3.086419753086419582e-01,1
142,d5:r47:peven:b1,0,advanced_parity_lift_c1,187,d5:r62:peven:b1,2.611746871334388875e-01,1/3
142,d5:r47:peven:b1,1,advanced_parity_lift_c1,430,d5:r143:peven:b1,2.611746871334388875e-01,1/3
142,d5:r47:peven:b1,2,advanced_parity_lift_c1,673,d5:r224:peven:b1,2.611746871334388875e-01,1/3
143,d5:r47:peven:b2,,retarded,566,d5:r188:peven:b2,3.086419753086419582e-01,1
143,d5:r47:peven:b2,0,advanced_parity_lift_c1,187,d5:r62:peven:b1,2.611746871334388875e-01,1/3
143,d5:r47:peven:b2,1,advanced_parity_lift_c1,430,d5:r143:peven:b1,2.611746871334388875e-01,1/3
143,d5:r47:peven:b2,2,advanced_parity_lift_c1,673,d5:r224:peven:b1,2.611746871334388875e-01,1/3
144,d5:r48:podd:b0,,retarded,578,d5:r192:peven:b2,3.086419753086419582e-01,1
145,d5:r48:peven:b1,,retarded,578,d5:r192:peven:b2,3.086419753086419582e-01,1
146,d5:r48:peven:b2,,retarded,578,d5:r192:peven:b2,3.086419753086419582e-01,1
147,d5:r49:podd:b0,,retarded,590,d5:r196:peven:b2,3.086419753086419582e-01,1
148,d5:r49:peven:b1,,retarded,590,d5:r196:peven:b2,3.086419753086419582e-01,1
149,d5:r49:peven:b2,,retarded,590,d5:r196:peven:b2,3.086419753086419582e-01,1
150,d5:r50:podd:b0,,retarded,602,d5:r200:peven:b2,3.086419753086419582e-01,1
151,d5:r50:peven:b1,,retarded,602,d5:r200:peven:b2,3.086419753086419582e-01,1
152,d5:r50:peven:b2,,retarded,602,d5:r200:peven:b2,3.086419753086419582e-01,1
153,d5:r51:podd:b0,,retarded,614,d5:r204:peven:b2,3.086419753086419582e-01,1
154,d5:r51:peven:b1,,retarded,614,d5:r204:peven:b2,3.086419753086419582e-01,1
155,d5:r51:peven:b2,,retarded,614,d5:r204:peven:b2,3.086419753086419582e-01,1
156,d5:r52:podd:b0,,retarded,626,d5:r208:peven:b2,3.086419753086419582e-01,1
157,d5:r52:peven:b1,,retarded,626,d5:r208:peven:b2,3.086419753086419582e-01,1
158,d5:r52:peven:b2,,retarded,626,d5:r208:peven:b2,3.086419753086419582e-01,1
