component_id,size,spectral_radius_decimal,is_sink
121,1,0.000000000000000000e+00,no
122,1,0.000000000000000000e+00,no
123,1,0.000000000000000000e+00,no
124,1,0.000000000000000000e+00,no
125,1,0.000000000000000000e+00,no
126,1,0.000000000000000000e+00,no
127,1,0.000000000000000000e+00,no
128,1,0.000000000000000000e+00,no
129,1,0.000000000000000000e+00,no
130,1,0.000000000000000000e+00,no
131,1,0.000000000000000000e+00,no
132,1,0.000000000000000000e+00,no
133,1,0.000000000000000000e+00,no
134,1,0.000000000000000000e+00,no
135,1,0.000000000000000000e+00,no
136,1,0.000000000000000000e+00,no
137,1,0.000000000000000000e+00,no
138,1,0.000000000000000000e+00,no
139,1,0.000000000000000000e+00,no
140,1,0.000000000000000000e+00,no
141,1,0.000000000000000000e+00,no
142,1,0.000000000000000000e+00,no
143,1,0.000000000000000000e+00,no
144,1,0.000000000000000000e+00,no
145,1,0.000000000000000000e+00,no
146,1,0.000000000000000000e+00,no
147,1,0.000000000000000000e+00,no
148,1,0.000000000000000000e+00,no
149,1,0.000000000000000000e+00,no
150,1,0.000000000000000000e+00,no
151,1,0.000000000000000000e+00,no
152,1,0.000000000000000000e+00,no
153,1,0.000000000000000000e+00,no
154,1,0.000000000000000000e+00,no
155,1,0.000000000000000000e+00,no
156,1,0.000000000000000000e+00,no
157,1,0.000000000000000000e+00,no
158,1,0.000000000000000000e+00,no
159,1,0.000000000000000000e+00,no
160,1,0.000000000000000000e+00,no
161,1,0.000000000000000000e+00,no
162,1,0.000000000000000000e+00,no
163,1,0.000000000000000000e+00,no
164,1,0.000000000000000000e+00,no
165,1,0.000000000000000000e+00,no
166,1,0.000000000000000000e+00,no
167,1,0.000000000000000000e+00,no
168,1,0.000000000000000000e+00,no
169,1,0.000000000000000000e+00,no
170,1,0.000000000000000000e+00,no
171,1,0.000000000000000000e+00,no
172,1,0.000000000000000000e+00,no
173,1,0.000000000000000000e+00,no
174,1,0.000000000000000000e+00,no
175,1,0.000000000000000000e+00,no
176,1,0.000000000000000000e+00,no
177,1,0.000000000000000000e+00,no
178,1,0.000000000000000000e+00,no
179,1,0.000000000000000000e+00,no
180,1,0.000000000000000000e+00,no
181,1,0.000000000000000000e+00,no
182,1,0.000000000000000000e+00,no
183,1,0.000000000000000000e+00,no
184,1,0.000000000000000000e+00,no
185,1,0.000000000000000000e+00,no
186,1,0.000000000000000000e+00,no
187,1,0.000000000000000000e+00,no
188,1,0.000000000000000000e+00,no
189,1,0.000000000000000000e+00,no
