source_id,source,deep_lift,channel,tail_weight_decimal,multiplicity,tail_name
582,d5:r194:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
582,d5:r194:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
582,d5:r194:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
583,d5:r194:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
583,d5:r194:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
583,d5:r194:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
584,d5:r194:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
584,d5:r194:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
584,d5:r194:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
609,d5:r203:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
609,d5:r203:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
609,d5:r203:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
610,d5:r203:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
610,d5:r203:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
610,d5:r203:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
611,d5:r203:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
611,d5:r203:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
611,d5:r203:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
636,d5:r212:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
636,d5:r212:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
636,d5:r212:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
637,d5:r212:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
637,d5:r212:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
637,d5:r212:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
638,d5:r212:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
638,d5:r212:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
638,d5:r212:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
663,d5:r221:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
663,d5:r221:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
663,d5:r221:podd:b0,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
664,d5:r221:peven:b1,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
664,d5:r221:peven:b1,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
664,d5:r221:peven:b1,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
665,d5:r221:peven:b2,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
665,d5:r221:peven:b2,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
665,d5:r221:peven:b2,2,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
690,d5:r230:podd:b0,0,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
690,d5:r230:podd:b0,1,advanced_sterile_tail_c0,4.701144368401899420e-01,1/3,Q_boundary_or_sterile
