core_local_id,state_id,v_integer,v_denominator,lhs_num,lhs_den,rhs_num,rhs_den,slack_num,slack_den,lhs_over_rhs_decimal,passes
127,385,19058435,1000000,1460033118787726928047810482046450226775927,80000000000000000000000000000000000,186772663,10,34148185212273071952189517953549773224073,80000000000000000000000000000000000,0.9771458891094028,True
128,386,19058435,1000000,1460033118787726928047810482046450226775927,80000000000000000000000000000000000,186772663,10,34148185212273071952189517953549773224073,80000000000000000000000000000000000,0.9771458891094028,True
129,393,5252771,1000000,982435374999999945541642293,195312500000000000000,257385779,50,22977824218750054458357707,195312500000000000000,0.9771458896336304,True
130,394,5252771,1000000,982435374999999945541642293,195312500000000000000,257385779,50,22977824218750054458357707,195312500000000000000,0.9771458896336304,True
131,395,5252771,1000000,982435374999999945541642293,195312500000000000000,257385779,50,22977824218750054458357707,195312500000000000000,0.9771458896336304,True
132,402,30547662,1000000,7313132980529115994588814576110026832536927,250000000000000000000000000000000000,748417719,25,171044209470884005411185423889973167463073,250000000000000000000000000000000000,0.9771458899049817,True
133,403,30547662,1000000,7313132980529115994588814576110026832536927,250000000000000000000000000000000000,748417719,25,171044209470884005411185423889973167463073,250000000000000000000000000000000000,0.9771458899049817,True
134,404,30547662,1000000,7313132980529115994588814576110026832536927,250000000000000000000000000000000000,748417719,25,171044209470884005411185423889973167463073,250000000000000000000000000000000000,0.9771458899049817,True
135,411,71258169,1000000,2729481350387143989101725781934413031634611,40000000000000000000000000000000000,3491650281,50,63838874412856010898274218065586968365389,40000000000000000000000000000000000,0.977145880430724,True
136,412,71258169,1000000,2729481350387143989101725781934413031634611,40000000000000000000000000000000000,3491650281,50,63838874412856010898274218065586968365389,40000000000000000000000000000000000,0.977145880430724,True
137,413,71258169,1000000,2729481350387143989101725781934413031634611,40000000000000000000000000000000000,3491650281,50,63838874412856010898274218065586968365389,40000000000000000000000000000000000,0.977145880430724,True
138,420,3007177,1000000,2249750874999999875291809497,781250000000000000000,147351673,50,52619015625000124708190503,781250000000000000000,0.9771457158820314,True
139,421,3007177,1000000,2249750874999999875291809497,781250000000000000000,147351673,50,52619015625000124708190503,781250000000000000000,0.9771457158820314,True
140,422,3007177,1000000,2249750874999999875291809497,781250000000000000000,147351673,50,52619015625000124708190503,781250000000000000000,0.9771457158820314,True
141,429,13333544,1000000,3192060561154908856110469566948293298489951,250000000000000000000000000000000000,326671828,25,74657718845091143889530433051706701510049,250000000000000000000000000000000000,0.9771459573657845,True
142,430,13333544,1000000,3192060561154908856110469566948293298489951,250000000000000000000000000000000000,326671828,25,74657718845091143889530433051706701510049,250000000000000000000000000000000000,0.9771459573657845,True
143,431,13333544,1000000,3192060561154908856110469566948293298489951,250000000000000000000000000000000000,326671828,25,74657718845091143889530433051706701510049,250000000000000000000000000000000000,0.9771459573657845,True
144,438,5985019,1000000,458501758774177896424950423946788318558213,80000000000000000000000000000000000,293265931,50,10723730825822103575049576053211681441787,80000000000000000000000000000000000,0.9771458902734297,True
145,439,5985019,1000000,458501758774177896424950423946788318558213,80000000000000000000000000000000000,293265931,50,10723730825822103575049576053211681441787,80000000000000000000000000000000000,0.9771458902734297,True
146,440,5985019,1000000,458501758774177896424950423946788318558213,80000000000000000000000000000000000,293265931,50,10723730825822103575049576053211681441787,80000000000000000000000000000000000,0.9771458902734297,True
147,447,1443920,1000000,540117874999999970060185953,390625000000000000000,7075208,5,12632750000000029939814047,390625000000000000000,0.9771456613006995,True
148,448,1443920,1000000,540117874999999970060185953,390625000000000000000,7075208,5,12632750000000029939814047,390625000000000000000,0.9771456613006995,True
149,449,1443920,1000000,540117874999999970060185953,390625000000000000000,7075208,5,12632750000000029939814047,390625000000000000000,0.9771456613006995,True
150,456,175357217,1000000,20990323999899559959899904012256018503607611,125000000000000000000000000000000000,8592503633,50,490935082600440040100095987743981496392389,125000000000000000000000000000000000,0.9771458888552587,True
151,457,175357217,1000000,20990323999899559959899904012256018503607611,125000000000000000000000000000000000,8592503633,50,490935082600440040100095987743981496392389,125000000000000000000000000000000000,0.9771458888552587,True
152,458,175357217,1000000,20990323999899559959899904012256018503607611,125000000000000000000000000000000000,8592503633,50,490935082600440040100095987743981496392389,125000000000000000000000000000000000,0.9771458888552587,True
153,465,35711033,1000000,1367879658871478593919437073081328258455223,40000000000000000000000000000000000,1749840617,50,31992834728521406080562926918671741544777,40000000000000000000000000000000000,0.9771458937333309,True
154,466,35711033,1000000,1367879658871478593919437073081328258455223,40000000000000000000000000000000000,1749840617,50,31992834728521406080562926918671741544777,40000000000000000000000000000000000,0.9771458937333309,True
155,467,35711033,1000000,1367879658871478593919437073081328258455223,40000000000000000000000000000000000,1749840617,50,31992834728521406080562926918671741544777,40000000000000000000000000000000000,0.9771458937333309,True
156,474,1000000,1000000,748127374999999958529803349,781250000000000000000,980000,1,17497625000000041470196651,781250000000000000000,0.9771459591836734,True
157,475,1000000,1000000,748127374999999958529803349,781250000000000000000,980000,1,17497625000000041470196651,781250000000000000000,0.9771459591836734,True
158,476,1000000,1000000,748127374999999958529803349,781250000000000000000,980000,1,17497625000000041470196651,781250000000000000000,0.9771459591836734,True
159,483,174919574,1000000,10468969053914865112375969045532895502930353,62500000000000000000000000000000000,4285529563,25,244854853585134887624030954467104497069647,62500000000000000000000000000000000,0.977145895275194,True
160,484,174919574,1000000,10468969053914865112375969045532895502930353,62500000000000000000000000000000000,4285529563,25,244854853585134887624030954467104497069647,62500000000000000000000000000000000,0.977145895275194,True
161,485,174919574,1000000,10468969053914865112375969045532895502930353,62500000000000000000000000000000000,4285529563,25,244854853585134887624030954467104497069647,62500000000000000000000000000000000,0.977145895275194,True
162,492,30327141,1000000,464661762166926897647409362548670840458557,16000000000000000000000000000000000,1486029909,50,10867808713073102352590637451329159541443,16000000000000000000000000000000000,0.9771458824464659,True
163,493,30327141,1000000,464661762166926897647409362548670840458557,16000000000000000000000000000000000,1486029909,50,10867808713073102352590637451329159541443,16000000000000000000000000000000000,0.9771458824464659,True
164,494,30327141,1000000,464661762166926897647409362548670840458557,16000000000000000000000000000000000,1486029909,50,10867808713073102352590637451329159541443,16000000000000000000000000000000000,0.9771458824464659,True
165,501,29253815,1000000,10942788874999999393419327081,390625000000000000000,286687387,10,255937179687500606580672919,390625000000000000000,0.9771458665532432,True
166,502,29253815,1000000,10942788874999999393419327081,390625000000000000000,286687387,10,255937179687500606580672919,390625000000000000000,0.9771458665532432,True
167,503,29253815,1000000,10942788874999999393419327081,390625000000000000000,286687387,10,255937179687500606580672919,390625000000000000000,0.9771458665532432,True
168,510,7677905,1000000,1838096270423264710843299177081814418817213,250000000000000000000000000000000000,75243469,10,42990454576735289156700822918185581182787,250000000000000000000000000000000000,0.9771459476028489,True
169,511,7677905,1000000,1838096270423264710843299177081814418817213,250000000000000000000000000000000000,75243469,10,42990454576735289156700822918185581182787,250000000000000000000000000000000000,0.9771459476028489,True
170,512,7677905,1000000,1838096270423264710843299177081814418817213,250000000000000000000000000000000000,75243469,10,42990454576735289156700822918185581182787,250000000000000000000000000000000000,0.9771459476028489,True
171,519,13649766,1000000,261421122686495918228278112436354915335481,20000000000000000000000000000000000,334419267,25,6114290913504081771721887563645084664519,20000000000000000000000000000000000,0.9771458633037429,True
172,520,13649766,1000000,261421122686495918228278112436354915335481,20000000000000000000000000000000000,334419267,25,6114290913504081771721887563645084664519,20000000000000000000000000000000000,0.9771458633037429,True
