core_local_id,state_id,state,residue_mod_9,bucket,integer_weight_over_D,rational_weight_decimal,lhs_wM_decimal,rhs_1_plus_delta_w_decimal,ratio_lhs_over_rhs,passes
78,240,d5:r80:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
79,241,d5:r80:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
80,242,d5:r80:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
81,249,d5:r83:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
82,250,d5:r83:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
83,251,d5:r83:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
84,258,d5:r86:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
85,259,d5:r86:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
86,260,d5:r86:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
87,267,d5:r89:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
88,268,d5:r89:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
89,269,d5:r89:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
90,276,d5:r92:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
91,277,d5:r92:peven:b1,2,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
92,278,d5:r92:peven:b2,2,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
93,285,d5:r95:podd:b0,5,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
94,286,d5:r95:peven:b1,5,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
95,287,d5:r95:peven:b2,5,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
96,294,d5:r98:podd:b0,8,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
97,295,d5:r98:peven:b1,8,1,3100,3.099999999999999891e-03,3.224201512662303124e-03,3.131000000000000102e-03,1.029767330776845347e+00,yes
98,296,d5:r98:peven:b2,8,2,3664,3.664000000000000156e-03,3.810185185185184682e-03,3.700640000000000266e-03,1.029601686515084991e+00,yes
99,303,d5:r101:podd:b0,2,0,5581,5.581000000000000023e-03,5.803562722792145537e-03,5.636809999999999911e-03,1.029582817727073607e+00,yes
